Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
Gendered Competitive Practices in Economics A Multi-Layer Model of Women’s Underrepresentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2023-05-05,2023-05-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,8. Österreichischer Workshop Feministischer Ökonom*innen (FemÖk)
NUWiss vor Ort. Die lokalen Unterbauinitiativen: Unterbau Linz,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2023-04-22,2023-04-22,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,NUWiss Gründungsevent
Konfliktlinien in den Wirtschaftswissenschaften und ihre Bedeutung für ‚Bildung und nachhaltige Entwicklung‘ (BNE),Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Eckert, Gregor",2022-02-24,2022-02-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Wirtschaft als transformativer Prozess. Grundlagen und Implikationen für die Wirtschaftswissenschaften,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Bäuerle, Lukas",,2022-04-21,2022-04-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
"Introducing heterogeneous consumer products into a single-country, SFC macro-ABM framework",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2022-04-28,2022-04-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
"Klimakrise, klimasoziale Politik und die Rolle der Superreichen",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2022-05-05,2022-05-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Modern Central Banks: Navigating between 'the stars' and a state-led growth model,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Arbogast, Matthias",2022-01-13,2022-01-13,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Mit neuen Eigentumsformen durch die sozial-ökologische Transformation? Die europäische Industrie zukunftsfit machen,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia",,2022-01-27,2022-01-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-11-24,2022-11-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mittelbau-Vollversammlung
Kompexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-11-03,2022-11-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-11-16,2022-11-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-11-17,2022-11-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
"Wettbewerb in akademischen, politischen und öffentlichen Diskursen",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-09-28,2022-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,SPACE-Abschlusskonferenz
Applied economic methodology: oxymoron or ideal?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-09-29,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Was ist plurale Ökonomik?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-10-19,2022-10-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Agent Based Modelling,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-05-27,2022-05-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Universitäten und Forschung im Wettbewerb,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-04-29,2022-04-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Präsidiumssitzung des ULV
Liegt die Wahrheit irgendwo dazwischen? Eine plurale Perspektive auf globale Ungleichheit,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-05-02,2022-05-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
The political economy of academic publishing: On the commodification of a public good,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-05-13,2022-05-13,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Jahreskonferenz der Kritischen Kommunikationswissenschaften (KRIKOWI)
The political economy of academic publishing: On the commodification of a public good,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2022-05-13,2022-05-13,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Jahreskonferenz der Kritischen Kommunikationswissenschaften (KRIKOWI)
Agentenbasierte Modelle & Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2023-01-26,2023-01-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Degrowth and the Global South? How institutionalism can complement a timely discourse on ecologically sustainable development in an unequal world,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2023-01-11,2023-01-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"ASSA, New Orleans"
Catering for the interests of the richest or staunch fighters for social justice? A long-term perspective on media discourses of economic inequality in the US press,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Theine, Hendrik",,2023-03-28,2023-03-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
The heterogeneous effects of digitalization on macroeconomic developments - a comparative perspective,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2022-09-06,2022-09-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"34th Annual EAEPE Conference, Neapel"
"Competitive Performativity of Academic Social Networks. The Subjectification of Competition on Researchgate, Twitter and Google Scholar",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-09-07,2022-09-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"34th Annual EAEPE Conference, Neapel"
"Wettbewerb und Wettbewerbsfähigkeit im öffentlichen, politischen und akademischen Diskurs",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2022-09-28,2022-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"FWF Projekt ""SPACE"" Abschlusskonferenz"
"Wettbewerb und Wettbewerbsfähigkeit im öffentlichen, politischen und akademischen Diskurs",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2022-09-28,2022-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"FWF Projekt ""SPACE"" Abschlusskonferenz"
"Wettbewerb und Wettbewerbsfähigkeit im öffentlichen, politischen und akademischen Diskurs",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-09-28,2022-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"FWF Projekt ""SPACE"" Abschlusskonferenz"
"Wettbewerb und Wettbewerbsfähigkeit im öffentlichen, politischen und akademischen Diskurs",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2022-09-28,2022-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"FWF Projekt ""SPACE"" Abschlusskonferenz"
Wettbewerb in der Wissenschaft: Ambivalenzen und (un-)in-tendierte Folgen,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-09-28,2022-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"SPACE-Abschlusskonferenz, Podiumsdiskussion"
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-06-25,2022-06-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Jahresversammlung des ULV
Winning urban competition with a social agenda. The competition imaginary in Viennese urban development plans,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-07-10,2022-07-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"34th Annual SASE Conference, Amsterdam"
"Competitive Performativity of Academic Social Networks. The Subjectification of Competition on Researchgate, Twitter and Google Scholar",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-07-21,2022-07-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Workshop „Rankings and the structure of Economics”, JKU Linz"
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2021-10-15,2021-10-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,EAEPE Annual Conference
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2021-10-15,2021-10-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,EAEPE Annual Conference
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-10-15,2021-10-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,EAEPE Annual Conference
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum2021: Arbeit | Momentum Kongress
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum2021: Arbeit | Momentum Kongress
Governing the Ungovernable. Recontextualizations of European Policy Discourse,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-05-27,2021-05-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Economic Policy Conference
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-11-06,2021-11-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2021
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2021-11-06,2021-11-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2021
The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-10-21,2016-10-21,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,FMM conference - Towards Pluralism in Macroeconomics?
The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2016-10-21,2016-10-21,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,FMM conference - Towards Pluralism in Macroeconomics?
The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2016-11-05,2016-11-05,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,The 28th annual EAEPE conference
The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-11-05,2016-11-05,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,The 28th annual EAEPE conference
"Die Macht ökonomischer Modelle am Beispiel des ""Potential-Output""-Modells der Europäischen Kommission",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2016-10-14,2016-10-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum - Macht
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2021-10-29,2021-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,25th FMM Conference
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Landesmann, Michael",,2021-10-29,2021-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,25th FMM Conference
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-10-29,2021-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,25th FMM Conference
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-10-29,2021-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,25th FMM Conference
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-10-29,2021-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,25th FMM Conference
Competition in Transitional Processes: Polanyi and Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Heck, Ines",2021-06-04,2021-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Duke University CHOPE Summer Institute 2021
Competition in Transitional Processes: Polanyi and Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-06-04,2021-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Duke University CHOPE Summer Institute 2021
Competition in Transitional Processes: Polanyi and Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-06-04,2021-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Duke University CHOPE Summer Institute 2021
The Political Economy of Academic Publishing: On the Commodification of a Public Good,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference 2021
Perspektiven für eine nachhaltige Automobilindustrie,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2016-10-15,2016-10-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum 2016: Macht
Ökonomen-Netzwerke – Zu historischen und aktuellen Netzwerken der deutschen VWL-Professorinnen und Professoren,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2016-12-05,2016-12-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Schader-Forum, Tagung: Der Stand der Netzwerkforschung"
Historie der professoralen Agrarökonomen Deutschlands 1933 – 1955,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2010-06-24,2010-06-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Zur Performativität der Ökonomik und aktuellen ÖkonomInnen-Netzwerken in Deutschland,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2014-07-17,2014-07-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Europäische Agrarpolitik – eine kritische Sicht,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2014-04-14,2014-04-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Nyeleni-Forum 2014
Aktionsforschung – ein Weg zum Design institutioneller Neuerungen,unbekannt,Vortrag oder Präsentation,Vortragende*r,,"Knierim, Andrea",2010-06-10,2010-06-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Fachtagung „Anpassung an den Klimawandel – regional umsetzen!“
Private Verlage profitieren von Forschungsgeldern,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-02-01,2021-02-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ORF Wissen Aktuell
Piketty verstehen,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-06-20,2015-06-20,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,6. Sommerakademie des ICAE
Trade narratives of economists: A CDA approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-10-21,2021-10-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop: Discourse Analysis in Economics
Handelsnarrative in der ökonomischen Debatte,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-11-30,2021-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Entwicklungspolitische Hochschulwochen
"""Für die „Leistungsträger“ und „uns Österreicher“: Eine Mediendiskursanalyse zu Sozialreformen der ÖVP/FPÖ-Regierung 2017-2019 in Österreich""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Beyer, Karl",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum: Arbeit
"""Für die „Leistungsträger“ und „uns Österreicher“: Eine Mediendiskursanalyse zu Sozialreformen der ÖVP/FPÖ-Regierung 2017-2019 in Österreich""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum: Arbeit
Neoliberale Denkmuster als Basis des degressiven Arbeitslosengeldes,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-09-18,2021-09-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Aktionskonferenz ""Arbeitslosengeld rauf!"""
Power structures in economics and their impact on trade policies: An SSE approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2021-10-06,2021-10-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference 2021
Power structures in economics and their impact on trade policies: An SSE approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-10-06,2021-10-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference 2021
Top economists as free-trade cheerleaders in the public,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
Top economists as free-trade cheerleaders in the public,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
Theorizing Competition: An Interdisciplinary Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Wolfmayr, Georg",2021-07-04,2021-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Theorizing Competition: An Interdisciplinary Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Rogojanu, Ana",2021-07-04,2021-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Theorizing Competition: An Interdisciplinary Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Altreiter, Carina",,2021-07-04,2021-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Theorizing Competition: An Interdisciplinary Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-07-04,2021-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Theorizing Competition: An Interdisciplinary Framework,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-07-04,2021-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Conversations for the Future of Europe,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-05-19,2021-05-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Institute on the Future of Taxation in Europe, Robert Schuman Centre for Advanced Studies"
Which are the most inspiring economic questions of our time?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2020-11-11,2020-11-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,INET-YSI-Konferenz
Author Meets Critics: “Intangible Flow Theory in Economics: Human Participation in Economic and Societal Production”,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-07-05,2021-07-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Social Limits to Growth,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-06-10,2021-06-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Ringsvorlesung Plurale Ökonomik Lüneburg (MÖWE)
"A European Wealth Tax? Context, methods, revenues",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-09-28,2021-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Conference “Fiscal Matters”, European Parliament"
Economic Polarization in Europe,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-10-09,2021-10-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Six Decades of the Past, Six Decades of the Future"
Tracing the invisible rich,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-08-25,2021-08-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Conference of the European Economic Association
A European Wealth Tax,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-09-07,2021-09-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Conference “Fiscal Matters”, European Parliament"
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,EAEPE Annual Conference
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,EAEPE Annual Conference
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,EAEPE Annual Conference
Networks of the super-rich in Austria,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-10-10,2022-10-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2022
Networks of the super-rich in Austria,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Griesebner, Teresa",,2022-10-10,2022-10-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2022
Networks of the super-rich in Austria,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2022-10-10,2022-10-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2022
Pluralismus in der Ökonomie? Wissenschaftstheoretische Grundlagen und wissenschaftspolitische Konsequenzen,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-10-26,2016-10-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung ""Rethinking Economics"""
The “Performative Footprint” of economists political and societal impact of post-war German economists,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-11-04,2016-11-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Annual Conference ""European Association for Evolutionary and Political Economy"""
Strategien einer permanenten neoliberalen Diskurshegemonie?,unbekannt,Vortrag oder Präsentation,Vortragende*r,,"Liedl, Bernd",2016-10-14,2016-10-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum Kongress 2016: Macht
Strategien einer permanenten neoliberalen Diskurshegemonie?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-10-14,2016-10-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum Kongress 2016: Macht
Entstehen und Vergehen der deutschen Heterodoxen ab den 1970ern,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2016-02-11,2016-02-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Tagung des DFG-Netzwerkes ""Soziologie des ökonomischen Denkens"", Universität Frankfurt am Main"
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",unbekannt,Vortrag oder Präsentation,Vortragende*r,,"Aigner, Ernest",2016-09-27,2016-09-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,FGW-Vernetzung und Projektpräsentation
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-09-27,2016-09-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,FGW-Vernetzung und Projektpräsentation
Podiumsdiskussion: Was kommt nach der Krise,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-09-19,2016-09-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"im Anschluss an die Filmpremiere ""Zero Crash"""
Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2017-06-12,2017-06-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung ""Ökonomische Denkschulen und Grundlagen der Wissenschaftstheorie"""
The industrial policy research discourse (2000-2020) – a topic modelling approach,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2021-11-22,2021-11-22,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2021: Industrial policy for sustainable work and a green transformation
