title,date,type,id,person,citation,invited-by,original-title,place
"Wettbewerb in akademischen, politischen und öffentlichen Diskursen",28.09.2022,Vortrag auf einer Tagung (referiert),37609,Pühringer S.,", Österreich, 28.09.2022","SPACE-Abschlusskonferenz,  Universität Wien",,
Curse or Blessing: On Technological Competitiveness and Joining the European Union,09.09.2022,Vortrag auf einer Tagung (referiert),37338,"Gräbner-Radkowitsch C., Hager T.",", Italien, 09.09.2022",,"34th Annual EAEPE Conference, Neapel",Neapel
EU Policy-making and the construction of economic indicators: the case of Competitiveness in the European Semester,08.09.2022,Vortrag auf einer Tagung (referiert),37018,Rath J.,", Italien, 08.09.2022",,34th Annual EAEPE Conference 2022,Neapel
EU Policy-making and the construction of economic indicators: the case of Competitiveness in the European Semester,08.09.2022,Vortrag auf einer Tagung (referiert),36031,Rath J.,", Italien, 08.09.2022",,"34th Annual EAEPE Conference, Neapel",Neapel
Modelling the Demand for Heterogeneous Consumption Products. A Macroeconomic Stock-Flow Consistent Agent-Based Approach,08.09.2022,Vortrag auf einer Tagung (referiert),37272,Hornykewycz A.,", Italien, 08.09.2022",,"34th Annual EAEPE Conference, Neapel",Neapel
Networks of the super-rich in Austria,08.09.2022,Vortrag auf einer Tagung (referiert),35451,"Aistleitner M., Griesebner T., Pühringer S.",", Italien, 08.09.2022",,34th Annual EAEPE Conference,Neaples
"Competitive Performativity of Academic Social Networks. The Subjectification of Competition on Researchgate, Twitter and Google Scholar",07.09.2022,Vortrag auf einer Tagung (referiert),37612,Pühringer S.,", Italien, 07.09.2022",,"34th Annual EAEPE Conference, Neapel",
The heterogeneous effects of digitalization on macroeconomic developments - a comparative perspective,06.09.2022,Vortrag auf einer Tagung (referiert),37613,Gräbner-Radkowitsch C.,", Italien, 06.09.2022",,"34th Annual EAEPE Conference, Neapel",
"Development and Interdisciplinarity: re-examining the ""economics silo""",11.07.2022,Vortrag auf einer Tagung (referiert),35215,Aistleitner M.,", Niederlande, 11.07.2022",,"34th Annual SASE Conference, Amsterdam",Amsterdam
Shaping Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,11.07.2022,Vortrag auf einer Tagung (referiert),36030,"Hornykewycz A., Rath J.",", Niederlande, 11.07.2022",,"34th Annual SASE Conference, Amsterdam",Amsterdam
"Technological capabilities, globalisation and economic growth",11.07.2022,Vortrag auf einer Tagung (referiert),37596,"Gräbner-Radkowitsch C., Heimberger P., Kapeller J.",", Niederlande, 11.07.2022",,"34th Annual SASE Conference, Amsterdam",
The Toll it Takes: On Technological Competitiveness and Joining the European Union,11.07.2022,Vortrag auf einer Tagung (referiert),37340,"Gräbner-Radkowitsch C., Hager T.",", Niederlande, 11.07.2022",,"34th Annual SASE Conference, Amsterdam",
Can the European Green Deal Contribute to a Socio-Ecological Transformation?,10.07.2022,Vortrag auf einer Tagung (referiert),37595,"Kapeller J., Wildauer R.",", Niederlande, 10.07.2022",,"34th Annual SASE Conference, Amsterdam",
Winning urban competition with a social agenda. The competition imaginary in Viennese urban development plans,10.07.2022,Vortrag auf einer Tagung (referiert),37616,Pühringer S.,", Niederlande, 10.07.2022",,"34th Annual SASE Conference, Amsterdam",
The industrial policy research discourse (2000-2020) – a topic modelling approach,22.11.2021,Vortrag auf einer Tagung (referiert),33307,Aistleitner M.,", Österreich, 22.11.2021",,Young Economists Conference 2021: Industrial policy for sustainable work and a green transformation,
Governing the Ungovernable. Recontextualizations of Competition in European Policy Discourse,07.11.2021,Vortrag auf einer Tagung (referiert),34392,Porak L.,", Österreich, 07.11.2021",,Young Economists Conference 2021,
(Mis)Measuring Competitiveness:  The Quantification of a Malleable Concept in the European Semester,06.11.2021,Vortrag auf einer Tagung (referiert),34536,"Gräbner-Radkowitsch C., Hager T.",", Österreich, 06.11.2021",,Young Economists Conference 2021,Linz
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,06.11.2021,Vortrag auf einer Tagung (referiert),33548,"Hornykewycz A., Rath J.",", Österreich, 06.11.2021",Young Economicsts Conference 2021,Young Economists Conference 2021,
Do corporate tax cuts boost growth?,30.10.2021,Vortrag auf einer Tagung (referiert),34394,Heimberger P.,", Deutschland, 30.10.2021",25th FMM Conference 2021,,
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,29.10.2021,Vortrag auf einer Tagung (referiert),40357,"Gräbner-Radkowitsch C., Hornykewycz A., Schütz B.",", Deutschland, 29.10.2021",,25th FMM Conference 2021,
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",29.10.2021,Vortrag auf einer Tagung (referiert),33594,"Gräbner-Radkowitsch C., Heimberger P., Kapeller J., Landesmann M., Schütz B.",", Deutschland, 29.10.2021",,25th FMM Conference,Berlin
"""Für die „Leistungsträger“ und „uns Österreicher“: Eine Mediendiskursanalyse zu Sozialreformen der ÖVP/FPÖ-Regierung 2017-2019 in Österreich""",16.10.2021,Vortrag auf einer Tagung (referiert),33620,"Beyer K., Pühringer S.",", Österreich, 16.10.2021",Momentum Kongress,Momentum: Arbeit,Hallstatt
(How) can heterodox economics inform the study of institutions?,16.10.2021,Vortrag auf einer Tagung (referiert),35271,Kapeller J.,", Österreich, 16.10.2021",University of Graz,"Workshop ""Institutions""",Graz University
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,16.10.2021,Vortrag auf einer Tagung (referiert),33547,"Hornykewycz A., Rath J.",", Österreich, 16.10.2021",,Momentum2021: Arbeit | Momentum Kongress,Hallstatt
Warum müssen wir noch immer arbeiten?,16.10.2021,Vortrag auf einer Tagung (referiert),34396,Porak L.,", Österreich, 16.10.2021",Momentum-Kongress 2021,,
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,15.10.2021,Vortrag auf einer Tagung (referiert),33545,"Gräbner-Radkowitsch C., Hornykewycz A., Schütz B.",", Österreich, 15.10.2021",Momentum Kongress,EAEPE Annual Conference,Hallstatt
Competition in Transitional Processes: Polanyi and Schumpeter,09.10.2021,Vortrag auf einer Tagung (referiert),34384,"Hager T., Heck I., Rath J.",", Österreich, 09.10.2021",,24th Annual Conference of the European Society of the History of Economic Thought,online
Power structures in economics and their impact on trade policies: An SSE approach,06.10.2021,Vortrag auf einer Tagung (referiert),33618,"Aistleitner M., Pühringer S.",", Italien, 06.10.2021",Universität Neapel,,Neapel (hybrid)
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",04.09.2021,Vortrag auf einer Tagung (referiert),32858,"Gräbner-Radkowitsch C., Heimberger P., Kapeller J., Landesmann M.",", Österreich, 04.09.2021",,EAEPE Annual Conference,Online
(Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester,03.09.2021,Vortrag auf einer Tagung (referiert),34385,"Gräbner-Radkowitsch C., Hager T.",", Österreich, 03.09.2021",,33rd Annual EAEPE Conference,Online
Governing the Ungovernable. Recontextualizations of Competition in European Policy Discourse,03.09.2021,Vortrag auf einer Tagung (referiert),34401,Porak L.,", Österreich, 03.09.2021",,33rd Annual EAEPE Conference,Online
"Still learning to catch-up? Technological capabilities, globalisation and economic growth",03.09.2021,Vortrag auf einer Tagung (referiert),34400,Heimberger P.,", Österreich, 03.09.2021",,33 rd Annual EAEPE Conference,
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),03.09.2021,Vortrag auf einer Tagung (referiert),32911,"Aistleitner M., Kapeller J., Kronberger D.",", Österreich, 03.09.2021",EAEPE Conference 2021,33rd Annual EAEPE Conference,Online
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,03.09.2021,Vortrag auf einer Tagung (referiert),33139,"Gräbner-Radkowitsch C., Hornykewycz A., Schütz B.",", Österreich, 03.09.2021",33rd Annual EAEPE Conference,EAEPE Annual Conference,Online
The Political Economy of Academic Publishing: On the Commodification of a Public Good,03.09.2021,Vortrag auf einer Tagung (referiert),33557,Rath J.,", Österreich, 03.09.2021",EAEPE Conference 2021,,
Top economists as free-trade cheerleaders in the public,03.09.2021,Vortrag auf einer Tagung (referiert),33617,"Aistleitner M., Pühringer S.",", Österreich, 03.09.2021",EAEPE,33rd Annual EAEPE Conference,"virtuell (geplant in ITA, Neapel)"
Tracing the invisible rich,25.08.2021,Vortrag auf einer Tagung (referiert),33675,Kapeller J.,", Dänemark, 25.08.2021",,Conference of the European Economic Association,University of Copenhagen + digital
Tracing the invisible rich: The rank correction approach to inferring tails in survey data,25.08.2021,Vortrag auf einer Tagung (referiert),34402,Kapeller J.,", Österreich, 25.08.2021",,Conference of the European Economic Association,
Competition in Transitional Processes: Polanyi & Schumpeter,09.07.2021,Vortrag auf einer Tagung (referiert),34538,"Hager T., Heck I., Rath J.",", Österreich, 09.07.2021",,Conference of the International Schumpeter Society,online
Author Meets Critics: “Intangible Flow Theory in Economics: Human Participation in Economic and Societal Production”,05.07.2021,Vortrag auf einer Tagung (referiert),33677,Kapeller J.,", Österreich, 05.07.2021",,33rd Annual SASE Meeting,Participant in panel discussion - online (planned in DEU)
Governing the Ungovernable. Recontextualizations of Competition in European Policy Discourse,04.07.2021,Vortrag auf einer Tagung (referiert),34406,Porak L.,", Österreich, 04.07.2021",,33rd Annual SASE Meeting,Online
Theorizing Competition: An Interdisciplinary Framework,04.07.2021,Vortrag auf einer Tagung (referiert),33616,"Altreiter C., Gräbner-Radkowitsch C., Pühringer S., Rogojanu A., Wolfmayr G.",", Österreich, 04.07.2021",,33rd Annual SASE Meeting,Online (geplant in DEU)
The political economy of academic publishing: On the commodification of a public good,03.07.2021,Vortrag auf einer Tagung (referiert),32782,"Pühringer S., Rath J.",", Österreich, 03.07.2021",SASE,Annual Conference of the Society for the Advancement of Socio-Economics (SASE),virtuell (geplant: DEU)
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),02.07.2021,Vortrag auf einer Tagung (referiert),32727,"Aistleitner M., Kapeller J., Kronberger D.",", Österreich, 02.07.2021",,SASE 2021 Conference: After Covid? Critical Conjunctures and Contingent Pathways of Contemporary Capitalism,Virtual Congress
Governing the Ungovernable. Recontextualizations of European Policy Discourse,27.05.2021,Vortrag auf einer Tagung (referiert),33546,Porak L.,", Österreich, 27.05.2021",,Economic Policy Conference,Online
Governing the Ungovernable. Recontextualizations of European Policy Discourse,26.03.2021,Vortrag auf einer Tagung (referiert),34420,Porak L.,", Deutschland, 26.03.2021",The International Max Planck Research School,First Doctoral Conference on the Social and Political Constitution of the Economy,Köln
Does economic globalisation promote economic growth? A meta analysis Presentation,19.02.2021,Vortrag auf einer Tagung (referiert),34422,Heimberger P.,", Österreich, 19.02.2021",,13th FIW-Research Conference ‘International Economics,Online
Allbetroffenheit in der Pandemie? Ein soziologischer Blick auf das Erleben der Auswirkungen der Corona-Krise,17.10.2020,Vortrag auf einer Tagung (referiert),32065,Porak L.,", Österreich, 17.10.2020",,Momentum 2020,
Competition in Transformational Processes: Polanyi & Schumpeter,16.10.2020,Vortrag auf einer Tagung (referiert),32173,"Hager T., Heck I., Rath J.",", Österreich, 16.10.2020",,Momentum-Kongress,Online
Wohin steuert die Europäische Union? Ein Klärungsversuch der strategischen Ausrichtung der EU seit Lissabon,16.10.2020,Vortrag auf einer Tagung (referiert),31376,Porak L.,", Österreich, 16.10.2020",,Momentum 2020,Online
Presente y futuro del desarrollo económico desde una perspectiva Latinoamericana,02.10.2020,Vortrag auf einer Tagung (referiert),33686,"Bértola L., Kapeller J., Pezzini M.",", Chile, 02.10.2020",Economic Commission for Latin America and the Carribean (ECLAC,,
Theorizing Competition: An interdisciplinary approach to the genesis of a contested concept,04.09.2020,Vortrag auf einer Tagung (referiert),31870,"Pühringer S., Wolfmayer G.",", Österreich, 04.09.2020",EAEPE,EAEPE Online Conference,online aufgrund von COVID-19 (geplant: ESP)
Competition in Transformational Processes: Polanyi & Schumpeter,03.09.2020,Vortrag auf einer Tagung (referiert),31378,"Hager T., Heck I., Rath J.",", Österreich, 03.09.2020",,EAEPE,Online
Exploring the trade (policy) narratives in economic elite discourse,03.09.2020,Vortrag auf einer Tagung (referiert),31208,"Aistleitner M., Pühringer S.",", Österreich, 03.09.2020",,EAEPE annual conference 2020,online aufgrund von COVID-19 (geplant: ESP)
Talking about Competition. Discursive shifts in the economic imaginary of competition in public debates,03.09.2020,Vortrag auf einer Tagung (referiert),31377,"Pühringer S., Rath J.",", Österreich, 03.09.2020",,EAEPE 2020,online aufgrund von COVID-19 (geplant: ESP)
Talking about Competition: Discursive shifts in the economic imaginary of competition in public debates,22.07.2020,Vortrag auf einer Tagung (referiert),31375,"Pühringer S., Rath J.",", Österreich, 22.07.2020",,SASE 2020,online aufgrund von COVID-19 (geplant: NLD)
Theorizing Competition: An interdisciplinary approach to the genesis of a contested concept,18.07.2020,Vortrag auf einer Tagung (referiert),31871,Pühringer S.,", Österreich, 18.07.2020",Society for the Advancement of Socio-Economics,SASE Annual Conference,online aufgrund von COVID-19 (geplant: NLD / Amsterdam)
Zettelkasten ist nicht gleich Zettelkasten. Zum ontologischen Problem in der Netzwerkforschung mit Fokus auf Mark Lombardi und Niklas Luhmann,24.03.2020,Vortrag auf einer Tagung (referiert),32221,Hirte K.,", Deutschland, 24.03.2020",,Tagung: Warum Netzwerkforschung,"Deutsche Gesellschaft für Netzwerkforschung, Darmstadt"
Does economic globalization affect income inequality? A meta-analysis,05.12.2019,Vortrag auf einer Tagung (referiert),29932,Heimberger P.,", Österreich, 05.12.2019",,,Wien
"Is the Eurozone disintegrating? Macroeconomic divergence, structural polarization, trade and fragility",26.10.2019,Vortrag auf einer Tagung (referiert),29931,"Gräbner-Radkowitsch C., Heimberger P., Kapeller J., Schütz B.",", Deutschland, 26.10.2019",,FMM Conference 2019,Berlin
The conflict over income in a capitalist society: A stock-flow consistent approach,25.10.2019,Vortrag auf einer Tagung (referiert),28953,"Kapeller J., Piiroinen P., Raghavendra S., Schütz B.",", Deutschland, 25.10.2019",,23rd Conference of the Forum for Macroeconomics and Macroeconomic Policies (FMM),Berlin
"Auftragsvergabe, Leistungsqualität und Kostenintensität im Schienenpersonenverkehr",12.10.2019,Vortrag auf einer Tagung (referiert),29992,"Aistleitner M., Grimm C., Kapeller J.",", Österreich, 12.10.2019",,Momentum 2019,
Economic Polarization in Europe,12.10.2019,Vortrag auf einer Tagung (referiert),29229,Kapeller J.,", Österreich, 12.10.2019",,Momentum 2019: Widerspruch,"Hallstatt, Kongresszentrum"
Widersprüche im technologischen Fortschritt: am Beispiel der Blockchain Technologie,12.10.2019,Vortrag auf einer Tagung (referiert),29021,Rath J.,", Österreich, 12.10.2019",,Momentum19: Widerspruch,"Hallstatt, Kongresszentrum"
Der Wert des Widerspruchs für die demokratische Praxis,11.10.2019,Vortrag auf einer Tagung (referiert),32066,Porak L.,", Österreich, 11.10.2019",,Momentum 2019,
Ein pluralistisches Paradigma? Anwendungsbeispiel Mindestlohn,11.10.2019,Vortrag auf einer Tagung (referiert),28904,Schütz B.,", Österreich, 11.10.2019",,Momentum19: Widerspruch,Hallstatt
(Towards) exploring the genesis of competition in economic thought,02.10.2019,Vortrag auf einer Tagung (referiert),29991,Aistleitner M.,", Österreich, 02.10.2019",,Young Economists Conference 2019,
Does economic globalization affect income inequality? A meta-analysis,01.10.2019,Vortrag auf einer Tagung (referiert),29929,Heimberger P.,", Österreich, 01.10.2019",,Young Economists Conference 2019,Wien
Relationalität in der Soziologie und „Poppers Fluch“,28.09.2019,Vortrag auf einer Tagung (referiert),30663,Hirte K.,", Österreich, 28.09.2019",,,"Salzburg, Universität"
"""Alte Bekannte im neuen Gewand"" – Zum Phänomen kontextualer Neuinterpretation von Wissen",27.09.2019,Vortrag auf einer Tagung (referiert),30664,Hirte K.,", Österreich, 27.09.2019",,,"Salzburg, Universität"
Too big to fail…? Subventionierte Strukturplan-Politik in Deutschland zur Forcierung von Massentierhaltung,26.09.2019,Vortrag auf einer Tagung (referiert),30665,Hirte K.,", Österreich, 26.09.2019",,,
Structural change in times of increasing openness: Assessing path dependency in European Economic integration,23.09.2019,Vortrag auf einer Tagung (referiert),30547,"Gräbner-Radkowitsch C., Kapeller J.",", Deutschland, 23.09.2019",,Jahrestagung des Vereins für Socialpolitik,Leipzig
Convergence and Polarization Dynamics in Europa and globally,14.09.2019,Vortrag auf einer Tagung (referiert),29231,Kapeller J.,", Polen, 14.09.2019",,,Warschau
Creating a Pluralist Paradigm: An Application to the Minimum Wage Debate,14.09.2019,Vortrag auf einer Tagung (referiert),28682,Schütz B.,", Polen, 14.09.2019",,31st EAEPE Annual Conference,Warsaw School of Economics
Unrealistic models and how to identify them: on accounts of model realisticness,14.09.2019,Vortrag auf einer Tagung (referiert),30554,Gräbner-Radkowitsch C.,", Polen, 14.09.2019",,Annual Conference of the European Association for Evolutionary Political Economy,Warschau
Divided We Stand? Professional Consensus and Political Conflict in Academic Economics,13.09.2019,Vortrag auf einer Tagung (referiert),29000,Pühringer S.,", Polen, 13.09.2019",,EAEPE Annual Conference,Warsaw School of Economics
"Is the Eurozone disintegrating? Macroeconomic divergence, structural polarization",13.09.2019,Vortrag auf einer Tagung (referiert),29928,Heimberger P.,", Polen, 13.09.2019",,EAEPE Conference 2019,Warschau
Models of Capability Accumulation,13.09.2019,Vortrag auf einer Tagung (referiert),30207,Hornykewycz A.,", Polen, 13.09.2019",,European Association for Evolutionary Political Economy,
Economics & Philosophy,12.09.2019,Vortrag auf einer Tagung (referiert),29232,Kapeller J.,", Polen, 12.09.2019",,Pre-Conference at European Association for Evolutionary Economy,Warschau
Kommentar zu Komplexität und Evolution in der Ökonomik,05.07.2019,Vortrag auf einer Tagung (referiert),30539,Gräbner-Radkowitsch C.,", Österreich, 05.07.2019",,Jahrestagung Ausschuss für Evolutorische Ökonomik (VfS),Wien
Divided We Stand? Professional Consensus and Political Conflict in Academic Economics,29.06.2019,Vortrag auf einer Tagung (referiert),29001,Pühringer S.,", Vereinigte Staaten, 29.06.2019",,Annual Conference Society for the Advancement of Socio-Economics (SASE),"New York, New School for Social Research"
The power of economic models: The case of the EU's fiscal regulation framework,28.06.2019,Vortrag auf einer Tagung (referiert),29927,Heimberger P.,", Vereinigte Staaten, 28.06.2019",,SASE 2019,New York City
Market and society in Neo-liberalism and right-wing populism: A “reversed embeddedness”?,04.05.2019,Vortrag auf einer Tagung (referiert),28104,"Pühringer S., Ötsch W.",", Österreich, 04.05.2019",,International Karl Polanyi Conference,"Wien, ÖFSE"
Exploring the trade narrative in the ‘top 5’ journals in economics,16.04.2019,Vortrag auf einer Tagung (referiert),28103,"Aistleitner M., Pühringer S.",", Österreich, 16.04.2019",,2. Vienna Conference on Pluralism in Economics,BOKU Wien
Structural change in times of increasing openness: Assessing path dependency in European economic integration,16.04.2019,Vortrag auf einer Tagung (referiert),29926,Heimberger P.,", Österreich, 16.04.2019",,2nd Vienna Conference on Pluralism in Economics,Wien
Why Economics is still Political Economy. Economists as enlightened experts and/or political proclaimers,15.04.2019,Vortrag auf einer Tagung (referiert),28102,Pühringer S.,", Österreich, 15.04.2019",,2. Vienna Conference on Pluralism in Economics,BOKU Wien
Netzwerkanalysen zur Entwicklung der professoralen Agrarpolitiker und Agrarökonomen Deutschlands 1933 bis 2000,29.03.2019,Vortrag auf einer Tagung (referiert),30667,Hirte K.,", Deutschland, 29.03.2019",,,"Aachen, RWTH"
Harvesting the Benefits of Different Perspectives: Theoretical and Practical Reflections on Pluralistic Education in Economics,22.02.2019,Vortrag auf einer Tagung (referiert),30538,"Gräbner-Radkowitsch C., Strunk B.",", Deutschland, 22.02.2019",,"Grenzen überwinden, Pluralismus wagen. Perspektiven sozio*ökonomischer Hochschullehre",Duisburg
Pluralist and interdisciplinary research in academic economics,21.02.2019,Vortrag auf einer Tagung (referiert),29237,Kapeller J.,", Deutschland, 21.02.2019",,"GSÖBW-Meeting: ""crossing borders, embracing pluralism""",Duisburg
Polit-ökonomische Machtstrukturen unter „öffentlichen ÖkonomInnen“,19.12.2018,Vortrag auf einer Tagung (referiert),26596,Pühringer S.,", Österreich, 19.12.2018",,Momentum 2018: Klasse,Hallstatt
Intended and unintended non-knowledge – a neglected area in the debate on economic pluralism,07.12.2018,Vortrag auf einer Tagung (referiert),27518,Hirte K.,", Deutschland, 07.12.2018",,"Forms of Power in Economics: New perspectives for the Social Studies of Economics between networks, discourses and fields",Universität Giessen
Why Economics is Still Political Economy: Economists as enlightened experts and/or political proclaimers,06.12.2018,Vortrag auf einer Tagung (referiert),26598,"Beyer K., Pühringer S.",", Deutschland, 06.12.2018",,Forms of Power in Economics,Universität Giessen
Entitäten und Relationen – Die relationale Forschungsperspektive,04.12.2018,Vortrag auf einer Tagung (referiert),27517,Hirte K.,", Deutschland, 04.12.2018",,"Tagung: Das Paradigma der Relationalität, Deutsche Gesellschaft für Netzwerkforschung",
Divided we stand? Die politischen Orientierungen ‚öffentlicher ÖkonomInnen‘ in den USA,16.11.2018,Vortrag auf einer Tagung (referiert),26597,Pühringer S.,", Deutschland, 16.11.2018","Universität Hamburg, World Economics Association, AK Politische Ökonomie",10 Jahre nach der Weltfinanzkrise,Universität Hamburg
The focus of academic economics,28.10.2018,Vortrag auf einer Tagung (referiert),32072,Kapeller J.,", Deutschland, 28.10.2018",,22. FMM-Konferenz,Berlin
Strukturelle Polarisierung: Warum Europa trotz Aufschwungs ökonomisch auseinanderdriftet,22.10.2018,Vortrag auf einer Tagung (referiert),26730,Heimberger P.,", Österreich, 22.10.2018",,Momentum 2018,Hallstatt
Do labor market rigidities increase unemployment? Evidence for 23 OECD countries over 1985-2013,10.10.2018,Vortrag auf einer Tagung (referiert),26731,Heimberger P.,", Österreich, 10.10.2018",,Young Economists Conference 2018,Wien
Structural change in time of increasing openness: assessing path dependency in European economic integration,24.09.2018,Vortrag auf einer Tagung (referiert),29230,Kapeller J.,", Deutschland, 24.09.2018",,Annual Meeting of the German Economic Association,"Leipzig, DE"
Structural change in times of increasing openness: Assessing path dependency in European economic integration,08.09.2018,Vortrag auf einer Tagung (referiert),25791,"Gräbner-Radkowitsch C., Heimberger P., Kapeller J.",", Frankreich, 08.09.2018",,EAEPE Conference 2018,Nizza
The Focus of Academic Economics - Before and After the Crisis,07.09.2018,Vortrag auf einer Tagung (referiert),25961,Aistleitner M.,", Frankreich, 07.09.2018",,"EAEPE 2018: Evolutionary foundations at a crossroad: Assessments, outcomes and implications for policymakers",Nice - Sophia Antipolis
The Kaldor paradox revisited: New evidence in times of increasing openness“,07.09.2018,Vortrag auf einer Tagung (referiert),32073,"Gräbner-Radkowitsch C., Heimberger P., Kapeller J.",", Frankreich, 07.09.2018",,Annual Meeting of the European Association for Evolutionary Economy,Nice
What economics education is missing: the real world,06.09.2018,Vortrag auf einer Tagung (referiert),26594,Pühringer S.,", Frankreich, 06.09.2018",EAEPE,,Nice - Sophia Antipolis
Die Bedeutung von Vertrauen und sozialer Kontrolle für die Funktion informeller Wert-Transfer Systems,13.07.2018,Vortrag auf einer Tagung (referiert),25789,Gräbner-Radkowitsch C.,", Deutschland, 13.07.2018",,Tagung des Evolutorischen Ausschusses des Vereins für Socialpolitik,TU Dresden
Employment and the minimum wage: A pluralist approach,13.07.2018,Vortrag auf einer Tagung (referiert),25707,Schütz B.,", Vereinigtes Königreich, 13.07.2018",,20th Anniversary Conference of the Association for Heterodox Economics,University of Leicester
The Anti-democratic Logic of Right-wing Populism and Neoliberal Market-fundamentalism,07.01.2018,Vortrag auf einer Tagung (referiert),25769,Pühringer S.,", Vereinigte Staaten, 07.01.2018",Association for Social Economics (ASE),ASSA Annual Conference,Philadelphia
To trust or to control - Informal value transfer systems and computational analysis in institutional economics,07.01.2018,Vortrag auf einer Tagung (referiert),25792,"Elsner W., Gräbner-Radkowitsch C.",", Vereinigte Staaten, 07.01.2018",,Allied Social Sciences Associations Meeting,"Philadelphia, PA"
"Government Policies and Financial Crises: Mitigation, Postponement or Prevention?",05.01.2018,Vortrag auf einer Tagung (referiert),24203,"Kapeller J., Schütz B.",", Vereinigte Staaten, 05.01.2018",,ASSA Annual Meeting 2018,Philadelphia
Citation Patterns in Economics and Beyond: Assessing the Peculiarities of Economics from Two Scientometric Perspectives,20.12.2017,Vortrag auf einer Tagung (referiert),24056,Aistleitner M.,", Österreich, 20.12.2017",,Momentum 2017: Vielfalt,
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,10.11.2017,Vortrag auf einer Tagung (referiert),23999,Heimberger P.,", Deutschland, 10.11.2017",,FMM Conference 2017,
Citation metrics and the development of economics,24.10.2017,Vortrag auf einer Tagung (referiert),24150,Kapeller J.,", Vereinigtes Königreich, 24.10.2017",Institute for New Economic Thinking,2017 INET Plenary Conference,"Edinburgh, Scotland"
On defining institutions and how to study them,21.10.2017,Vortrag auf einer Tagung (referiert),24023,"Ghorbani A., Gräbner-Radkowitsch C.",", Ungarn, 21.10.2017",,Annual Conference of the European Association for Evolutionary Political Economy (EAEPE),Corvinus University Budapest
The political consequences of paradigmatic monism in economics. Evidences from a comparative analysis of German and US economics,20.10.2017,Vortrag auf einer Tagung (referiert),23979,"Beyer K., Pühringer S.",", Ungarn, 20.10.2017",EAEPE,Annual Conference European Ass. for Evol. Pol. Economy (EAEPE),"Budapest, Corvinus University"
"Sources of cooperation, performance, and stability in informal value transfer systems",19.10.2017,Vortrag auf einer Tagung (referiert),24022,"Elsner W., Gräbner-Radkowitsch C.",", Ungarn, 19.10.2017",,Annual Conference of the European Association for Evolutionary Political Economy (EAEPE),Corvinus University Budapest
In cars we trust. Automobile manufacturing as part of an integrative European industrial policy.,13.10.2017,Vortrag auf einer Tagung (referiert),24058,Aistleitner M.,", Österreich, 13.10.2017",,Young Economists Conference 2017 (‘European integration at a crossroads’),
On the many ways a model can be unrealistic – and still useful,12.10.2017,Vortrag auf einer Tagung (referiert),23987,Gräbner-Radkowitsch C.,", Finnland, 12.10.2017",,What to make of highly unrealistic models?,Academy of Finland Centre of Excellence in the Philosophy of Social Sciences (TINT)
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,12.10.2017,Vortrag auf einer Tagung (referiert),24004,Heimberger P.,", Österreich, 12.10.2017",,European Integration at a Crossroads,
The dance of Godzilla and the earthquake: on the sectoral and structural foundations of macroeconomic dynamics,20.09.2017,Vortrag auf einer Tagung (referiert),24021,"Gräbner-Radkowitsch C., Heinrich T.",", Mexiko, 20.09.2017",,Conference on Complex Systems,"Cancun, Mexiko"
Citation metrics and the development of economics,15.09.2017,Vortrag auf einer Tagung (referiert),24151,Kapeller J.,", Italien, 15.09.2017",European Society for the History of Economic Thought (ESHET),The Fragmentation of Economics and the New Role of the History of Economic Thought,University of Torino Campus Luigi Einaudi
Towards a computational understanding of institutions – A review and a new proposition,15.09.2017,Vortrag auf einer Tagung (referiert),24020,"Ghorbani A., Gräbner-Radkowitsch C.",", Niederlande, 15.09.2017",,Jahrestagung des World Interdisciplinary Network for Institutional Research (WINIR),"Utrecht Universiy, Utrecht, NL"
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,19.07.2017,Vortrag auf einer Tagung (referiert),24006,Heimberger P.,", Vereinigte Staaten, 19.07.2017",,ECINEQ Conference 2017,New York City
"Selling the “economic truth” to the public. Herbert Giersch and Hans-Werner Sinn as “public intellectuals""",17.07.2017,Vortrag auf einer Tagung (referiert),23982,Pühringer S.,", Irland, 17.07.2017",University of Belfast,Language and Economics,Belfast
