Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Die Regulation der Routine,"Kapeller, Jakob (+1 weitere)",2012,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., Schütz, B., & Tamesberger, D. (2012). Die Regulation der Routine. In Momentum Kongress Paper (S. 1-31)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Tiefenbedeutung von ‘Markt’,"Ötsch, Walter",2010,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2010). Die Tiefenbedeutung von ‘Markt’. In Momentum Kongress Paper (S. 1-27)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das Ökonomie-Monopol an den Agrarfakultäten,"Hirte, Katrin",2015,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2015). Das Ökonomie-Monopol an den Agrarfakultäten. Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, 38(3 (338)), 22-23.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Marktfundamentalismus als Kollektivgedanke. Mises und die Ordoliberalen,"Pühringer, Stephan (+1 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,41,Working Paper Serie ök,"Ötsch, W., & Pühringer, S. (2018). Marktfundamentalismus als Kollektivgedanke. Mises und die Ordoliberalen. (Working Paper Serie ök; Nr. 41).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Macht der Bilder, Macht der Sprache. Band 37 der Schriftenreihe der Freien Akademie Falkensee.","Ötsch, Walter",2018,nicht begutachtet,Buch,,,,"Graupe, S., & Ötsch, W. (Hrsg.) (2018). Macht der Bilder, Macht der Sprache. Band 37 der Schriftenreihe der Freien Akademie Falkensee. Angelika Lenz Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Der vergessene Lippmann: Politik, Propaganda und Markt","Ötsch, Walter",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,39,Working Paper Serie ök,"Ötsch, W., & Graupe, S. (2018). Der vergessene Lippmann: Politik, Propaganda und Markt. (Working Paper Serie ök; Nr. 39).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Wissen und Nicht-Wissen angesichts ""des Marktes"": Das Konzept von Hayek","Ötsch, Walter",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",43,,Working Paper Serie ök,"Ötsch, W. (2018). Wissen und Nicht-Wissen angesichts ""des Marktes"": Das Konzept von Hayek. (Working Paper Serie ök; Band 43).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Bilder in der Geschichte der Ökonomie: Das Beispiel der Metapher von der Wirtschaft als Maschine,"Ötsch, Walter",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",42,,Working Paper Serie ök,"Ötsch, W. (2018). Bilder in der Geschichte der Ökonomie: Das Beispiel der Metapher von der Wirtschaft als Maschine. (Working Paper Serie ök; Band 42).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Bilder des Rechtspopulismus,"Ötsch, Walter",2018,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2018). Bilder des Rechtspopulismus. In Ötsch, Walter O.; Graupe, Silja (Hrsg.), Macht der Bilder, Macht der Sprache (S. 113-128). Angelika Lenz Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Internationale Tendenzen und Potentiale der Vermögensbesteuerung,"Kapeller, Jakob (+2 weitere)",2017,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., Schütz, B., & Springholz, F. (2017). Internationale Tendenzen und Potentiale der Vermögensbesteuerung. In Dimmel, Nikolaus; Hofmann, Julia; Schenk, Martin; Schürz, Martin (Hrsg.), Handbuch Reichtum – Neue Erkenntnisse aus der Ungleichheitsforschung (S. 477-492). StudienVerlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Österreichs Staatsausgabenstrukturen im europäischen Vergleich,"Heimberger, Philipp",2017,nicht begutachtet,Andere Beiträge,,8,Forschungsbericht,"Heimberger, P. (2017). Österreichs Staatsausgabenstrukturen im europäischen Vergleich. https://wiiw.ac.at/oesterreichs-staatsausgabenstrukturen-im-europaeischen-vergleich-dlp-4278.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
sezonieri.at: Kollektive Handlungsfähigkeit von ErntearbeiterInnen in Österreich,"Griesser, Markus",2017,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Griesser, M. (2017). sezonieri.at: Kollektive Handlungsfähigkeit von ErntearbeiterInnen in Österreich. In Schmidjell, Cornelia; Sedmak, Clemens; Koch, Andreas; Kapferer, Elisabeth; Gaisbauer, Helmut P.; Bogner, Stefan; Wimmer, Bernd (Hrsg.), Lesebuch Soziale Ausgrenzung III (S. 89-92). Mandelbaum Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,"Heimberger, Philipp",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2020). The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013. Empirica, 47(1), 53-81. https://doi.org/10.1007/s10663-018-9404-z",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
What is structural about unemployment in OECD countries?,"Heimberger, Philipp",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2021). What is structural about unemployment in OECD countries? Review of Social Economy, 79(2), 380-412. https://doi.org/10.1080/00346764.2019.1678067",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Introduction to the symposium: The Complexity of Institutions: Theory and Computational Models,"Gräbner-Radkowitsch, Claudius",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Gräbner, C., & Heinrich, T. (2021). Introduction to the symposium: The Complexity of Institutions: Theory and Computational Models. Forum for Social Economics, 50(2), 153-156. https://doi.org/10.1080/07360932.2020.1752765",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Open strategy-making with crowds and communities: Comparing Wikimedia and Creative Commons,"Kapeller, Jakob",2018,begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., & Dobusch, L. (2018). Open strategy-making with crowds and communities: Comparing Wikimedia and Creative Commons. Long Range Planning, 51(4), 561-579. https://doi.org/10.1016/j.lrp.2017.08.005",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wissen und Nichtwissen angesichts ‚des Marktes‘. Das Konzept von Hayek,"Ötsch, Walter",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2019). Wissen und Nichtwissen angesichts ‚des Marktes‘. Das Konzept von Hayek. In Graupe, Silja; Ötsch, Walter O.; Rommel, Florian (Hrsg.), Spielräume des Denkens (S. 311-339). Metropolis. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Theory and Empirics of Capability Accumulation: Implications for Macroeconomic Modelling,"Hornykewycz, Anna (+2 weitere)",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Aistleitner, M., Gräbner, C., & Hornykewycz, A. (2021). Theory and Empirics of Capability Accumulation: Implications for Macroeconomic Modelling. Research Policy, 50(6), Artikel 104258. https://doi.org/10.1016/j.respol.2021.104258",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Paradigmen und Politik. Der derzeitige Stand der Ökonomie,"Pühringer, Stephan (+1 weitere)",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., & Pühringer, S. (2020). Paradigmen und Politik. Der derzeitige Stand der Ökonomie. In Jakob Kapeller, Stephan Pühringer, Silja Graupe, Kathrin Hirte, Stephan Panther (Hrsg.), Jenseits der Konventionen: Alternatives Denken zu Wirtschaft, Gesellschaft und Politik (S. 221-252). Metropolis. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Jenseits der Konventionen. Alternatives Denken zu Wirtschaft, Gesellschaft und Politik. Festschrift für Walter Ötsch","Pühringer, Stephan (+2 weitere)",2020,nicht begutachtet,Buch,,,,"Pühringer, S., Graupe, S., Hirte, K., & Kapeller, J. (Hrsg.) et al. (2020). Jenseits der Konventionen. Alternatives Denken zu Wirtschaft, Gesellschaft und Politik. Festschrift für Walter Ötsch. Metropolis.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Konzernmacht in globalen Güterketten,"Kapeller, Jakob (+1 weitere)",2021,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Gräbner, C., & Kapeller, J. (2021). Konzernmacht in globalen Güterketten. In Karin Fischer, Christian Reiner und Cornelia Staritz (Hrsg.), Globale Güterketten und ungleiche Entwicklung. Arbeit, Kapital, Natur und Konsum (S. 195-217). Mandelbaum. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
How to boost the European Green Deal’s scale and ambition,"Kapeller, Jakob",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,FEPS Policy Paper,"Kapeller, J., Wildauer, R., & Leitch, S. (2020). How to boost the European Green Deal’s scale and ambition. (FEPS Policy Paper).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The political economy of academic publishing: On the commodification of a public good,"Rath, Johanna (+2 weitere)",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Pühringer, S., Rath, J., & Griesebner, T. (2021). The political economy of academic publishing: On the commodification of a public good. PLOS One, 16(6), Artikel e0253226. https://doi.org/10.1371/journal.pone.0253226",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Who are the economists Germany listens to? What it needs to have academic, public or political impact","Pühringer, Stephan (+1 weitere)",2022,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S., & Beyer, K. (2022). Who are the economists Germany listens to? What it needs to have academic, public or political impact. In Maesse, Jens; Pühringer, Stephan; Rossier, Thierry; Benz, Pierre (Hrsg.), Power and Influence of Economists: Contributions to the Social Studies of Economics. (S. 147-169). Routledge. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Power and Influence of Economists,"Pühringer, Stephan",2021,nicht begutachtet,Buch,,,,"Maesse, J., Pühringer, S., Rossier, T., & Benz, P. (2021). Power and Influence of Economists: Contributions to the Social Studies of Economics. Taylor and Francis. https://doi.org/10.4324/9780367817084",Socio-Ecological Transformation Lab
Talking about Competition? Discursive Shifts in the Economic Imaginary of Competition in Public Debates,"Porak, Laura (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,6,SPACE Working Paper Series,"Pühringer, S., Porak, L., & Rath, J. (2020). Talking about Competition? Discursive Shifts in the Economic Imaginary of Competition in Public Debates. (SPACE Working Paper Series; Nr. 6).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Exploring the trade (policy) narratives in economic elite discourse,"Aistleitner, Matthias (+1 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,SSRN,"Aistleitner, M., & Pühringer, S. (2020). Exploring the trade (policy) narratives in economic elite discourse. (SSRN).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Corporate tax competition: A meta-analysis,"Heimberger, Philipp",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2021). Corporate tax competition: A meta-analysis. European Journal of Political Economy, 69(1020002), Artikel 102002. https://doi.org/10.1016/j.ejpoleco.2021.102002",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Allbetroffenheit in der Pandemie? Ein soziologischer Blick auf das Erleben der Auswirkungen der Corona-Krise,"Porak, Laura",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Vogel, L., Jühlke, R., Porak, L., & Quinz, H. (2020). Allbetroffenheit in der Pandemie? Ein soziologischer Blick auf das Erleben der Auswirkungen der Corona-Krise. In Momentum Kongress Paper (S. 1-19)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Miteinander und voneinander lernen. Vielfalt in der ökonomischen Lehre,"Porak, Laura",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L. (2020). Miteinander und voneinander lernen. Vielfalt in der ökonomischen Lehre. In Hochmann, Lars (Hrsg.), Economists4future (S. 127-142). Murmann Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das doppelte Reflektionsproblem,"Hirte, Katrin",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2020). Das doppelte Reflektionsproblem. In Hochmann, Lars (Hrsg.), Economists4future (S. 43-58). Murmann Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Friedman’s Instrumentalismus und das Problem von Kopernikus,"Hirte, Katrin",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2020). Friedman’s Instrumentalismus und das Problem von Kopernikus. In Pühringer, Stephan; Graupe, Silja; Hirte, Katrin; Kapeller, Jakob; Panther, Stephan (Hrsg.), Jenseits der Konventionen (S. 97-122). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Der Wert des Widerspruchs für die demokratische Praxis,"Porak, Laura",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L. (2019). Der Wert des Widerspruchs für die demokratische Praxis. In Momentum Kongress Paper, Track 10 (S. 1-15)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Substituting Trust by Technology: A Comparative Study,"Rath, Johanna",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,107,ICAE Working Paper Series,"Rath, J. (2020). Substituting Trust by Technology: A Comparative Study. (ICAE Working Paper Series; Nr. 107).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Introduction: change and persistence in contemporary economics,"Kapeller, Jakob",2019,begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., & Meyer, D. (2019). Introduction: change and persistence in contemporary economics. Science in Context, 32(4), 357-360. https://doi.org/10.1017/S0269889720000010",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The emergence of debt and secular stagnation in an unequal society: A stock-flow consistent agent-based approach,"Hornykewycz, Anna (+2 weitere)",2021,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Gräbner, C., Hornykewycz, A., & Schütz, B. (2021). The emergence of debt and secular stagnation in an unequal society: A stock-flow consistent agent-based approach. In Momentum Kongress Paper ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Shaping sustainable employment relationships in the age of Digitalisation: analysing policy measures in an agent-based framework,"Hornykewycz, Anna (+1 weitere)",2021,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hornykewycz, A., & Rath, J. (2021). Shaping sustainable employment relationships in the age of Digitalisation: analysing policy measures in an agent-based framework. In Momentum Kongress Paper ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Warum müssen wir (noch immer) arbeiten? Eine hegemonietheoretische Analyse der Bedeutung und des Wertes von Lohnarbeit für den modernen Staat,"Porak, Laura",2021,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L. (2021). Warum müssen wir (noch immer) arbeiten? Eine hegemonietheoretische Analyse der Bedeutung und des Wertes von Lohnarbeit für den modernen Staat. In Momentum Kongress Paper ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
A European wealth tax for a fair and green recovery,"Kapeller, Jakob",2021,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., Leitch, S., & Wildauer, R. (2021). A European wealth tax for a fair and green recovery. Policy Study.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Polarisierung oder Konvergenz? Zur ökonomischen Zukunft des vereinten Europas,"Kapeller, Jakob",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J. (2021). Polarisierung oder Konvergenz? Zur ökonomischen Zukunft des vereinten Europas. WISO direkt - Analysen und Konzepte zur Wirtschafts- und Sozialpolitik.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Trade (Policy) Discourse in Top Economics Journals,"Aistleitner, Matthias (+1 weitere)",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Aistleitner, M., & Pühringer, S. (2021). The Trade (Policy) Discourse in Top Economics Journals. New Political Economy, 26(5), 748-764. https://doi.org/10.1080/13563467.2020.1841145",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Vorwort. Jenseits der Konventionen,"Pühringer, Stephan (+2 weitere)",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S., Graupe, S., Hirte, K., & Kapeller, J. et al. (2020). Vorwort. Jenseits der Konventionen. In Pühringer, Stephan; Graupe, Silja; Hirte, Katrin; Kapeller, Jakob; Panther, Stephan (Hrsg.), Jenseits der Konventionen. Eine Festschrift für Walter Ötsch (S. 9-16). Metropolis. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
ÖkonomInnen in der Finanzkrise. Analyse zur Positionierung deutschsprachiger Ökonomen im Kontext ihrer strukturellen Verankerung,"Pühringer, Stephan (+1 weitere)",2012,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Hirte, K., & Pühringer, S. (2012). ÖkonomInnen in der Finanzkrise. Analyse zur Positionierung deutschsprachiger Ökonomen im Kontext ihrer strukturellen Verankerung.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The role of power in the Social Studies of Economics: an introduction,"Pühringer, Stephan",2022,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Maesse, J., Pühringer, S., Rossier, T., & Benz, P. (2022). The role of power in the Social Studies of Economics: an introduction. In Jens Maesse, Stephan Pühringer, Thierry Rossier,  Pierre Benz (Hrsg.), Power and Influence of Economists: Contributions to the Social Studies of Economics. Routledge. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wirtschaft(lich) studieren. Erlebniswelten von Studierenden der Volkswirtschaftslehre,"Bäuerle, Lukas (+2 weitere)",2020,nicht begutachtet,Buch,,,,"Bäuerle, L., Ötsch, W., & Pühringer, S. (2020). Wirtschaft(lich) studieren. Erlebniswelten von Studierenden der Volkswirtschaftslehre. Springer. https://doi.org/10.1007/978-3-658-30057-9",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
(Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester,"Hager, Theresa (+1 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,10,SPACE Working Paper Series,"Gräbner, C., & Hager, T. (2021). (Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester. (SPACE Working Paper Series; Nr. 10).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Theorizing Competition - An interdisciplinary approach to the genesis of a contested concept,"Pühringer, Stephan (+2 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,3,SPACE Working Paper Series,"Altreiter, C., Gräbner, C., Pühringer, S., & Rogojanu, A. et al. (2021). Theorizing Competition - An interdisciplinary approach to the genesis of a contested concept. (SPACE Working Paper Series; Nr. 3).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Economic Complexity and Trade-Offs in Policy Decisions,"Gräbner-Radkowitsch, Claudius",2016,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Schwardt, H., Gräbner, C., Heinrich, T., & Cordes, C. et al. (2016). Economic Complexity and Trade-Offs in Policy Decisions. In Gräbner, Claudius; Heinrich, Torsten; Schwardt, Henning (Hrsg.), Policy Implications of Recent Advances in Evolutionary and Institutional Economics: Essays in honor of Wolfram Elsner (S. 3-19). Routledge. https://doi.org/10.4324/9781315714257-3",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Humankapital,"Kapeller, Jakob",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J. (2019). Humankapital. In von Braunmühl, Claudia; Gerstenberger, Heide; Ptak, Ralf; Wichterich, Christa (Hrsg.), ABC der globalen Unordnung. Von »Anthropozän« bis »Zivilgesellschaft« (S. 120-121). VSA Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The current economic downturn in Europe must be seen in the context of a wider problem of economic polarisation,"Heimberger, Philipp",2019,nicht begutachtet,Andere Beiträge,,,,"Heimberger, P. (2019, Sep). The current economic downturn in Europe must be seen in the context of a wider problem of economic polarisation. https://wiiw.ac.at/the-current-economic-downturn-in-europe-must-be-seen-in-the-context-of-a-wider-problem-of-economic-polarisation-n-396.html",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"The Impact of Labour Market Institutions and Capital Accumulation on Unemployment: Evidence for the OECD, 1985-2013","Heimberger, Philipp",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,164,wiiw Working Papers,"Heimberger, P. (2019). The Impact of Labour Market Institutions and Capital Accumulation on Unemployment: Evidence for the OECD, 1985-2013. (wiiw Working Papers; Nr. 164).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Creating a pluralist paradigm: An application to the minimum wage debate,"Schütz, Bernhard",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Schütz, B. (2021). Creating a pluralist paradigm: An application to the minimum wage debate. Journal of Economic Issues, 55(1), 103-124. https://doi.org/10.1080/00213624.2021.1874786",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Creating a pluralist paradigm: An application to the minimum wage debate,"Schütz, Bernhard",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Schütz, B. (2019). Creating a pluralist paradigm: An application to the minimum wage debate. In Momentum Kongress Paper (S. 1-41)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Plurale Ökonomik - Eine kurze Einführung,"Porak, Laura",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Piétron, D., Porak, L., & Thieme, S. (2020). Plurale Ökonomik - Eine kurze Einführung. In Thielscher, Christian (Hrsg.), Wirtschaftswissenschaften verstehen (S. 189-205). Springer Gabler. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Does employment protection affect unemployment? A meta-analysis,"Heimberger, Philipp",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2021). Does employment protection affect unemployment? A meta-analysis. Oxford Economic Papers, 73(3), 982-1007. https://doi.org/10.1093/oep/gpaa037",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wohin steuert die Europäische Union? Ein Klärungsversuch der strategischen Ausrichtung der EU seit Lissabon,"Porak, Laura",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L. (2020). Wohin steuert die Europäische Union? Ein Klärungsversuch der strategischen Ausrichtung der EU seit Lissabon. In Momentum Kongress Paper (S. 1-22)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Polanyi and Schumpeter: Transitional Processes via Societal Spheres,"Hager, Theresa (+1 weitere)",2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,16,SPACE Working Paper Series,"Hager, T., Heck, I., & Rath, J. (2022). Polanyi and Schumpeter: Transitional Processes via Societal Spheres. (S. 1-25). (SPACE Working Paper Series; Nr. 16).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Agent of Sustainable Change - Der unternehmerische Staat und sozial-ökologische Transformation,"Strohmaier, Rita",2021,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,Jahrbuch Normative und institutionelle Grundfragen der Ökonomik,"Strohmaier, R. (2021). Agent of Sustainable Change - Der unternehmerische Staat und sozial-ökologische Transformation. In Klüh, Ulrich; Sturn, Richard (Hrsg.), Der Staat in der großen Transformation. Jahrbuch Normative und institutionelle Grundfragen der Ökonomik (S. 169-192). (Jahrbuch Normative und institutionelle Grundfragen der Ökonomik). Metropolis. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Does economic globalization affect government spending? A meta-analysis,"Heimberger, Philipp",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2021). Does economic globalization affect government spending? A meta-analysis. Public Choice, 187(3-4), 349-374. https://doi.org/10.1007/s11127-020-00784-8",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Unternehmenskonzentrationen in der Fleischbranche und die performative Rolle der Agrarökonomik&nbsp;– das Beispiel Sektorplanungen im Schlachthofbereich,"Hirte, Katrin",2021,begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2021). Unternehmenskonzentrationen in der Fleischbranche und die performative Rolle der Agrarökonomik – das Beispiel Sektorplanungen im Schlachthofbereich. ÖZS - Österreichische Zeitschrift für Soziologie, 46(2), 187-205. https://doi.org/10.1007/s11614-021-00448-x",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Pluralism in economics: its critiques and their lessons,"Strunk, Birte (+1 weitere)",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Gräbner, C., & Strunk, B. (2020). Pluralism in economics: its critiques and their lessons. Journal of Economic Methodology, 27(4), 311-329. https://doi.org/10.1080/1350178X.2020.1824076",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Does economic globalisation affect income inequality? A meta-analysis,"Heimberger, Philipp",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2020). Does economic globalisation affect income inequality? A meta-analysis. The World Economy, 43(11), 2960-2982. https://doi.org/10.1111/twec.13007",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Pandemic pushes polarisation: the Corona crisis and macroeconomic divergence in the Eurozone,"Kapeller, Jakob (+2 weitere)",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Gräbner, C., Heimberger, P., & Kapeller, J. (2020). Pandemic pushes polarisation: the Corona crisis and macroeconomic divergence in the Eurozone. Journal of Industrial and Business Economics, 47(3), 425-438. https://doi.org/10.1007/s40812-020-00163-w",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Structural change in times of increasing openness: assessing path dependency in European economic integration,"Kapeller, Jakob (+3 weitere)",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Gräbner, C., Heimberger, P., Kapeller, J., & Schütz, B. (2020). Structural change in times of increasing openness: assessing path dependency in European economic integration. Journal of Evolutionary Economics, 30(5), 1467-1495. https://doi.org/10.1007/s00191-019-00639-6",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Is the Eurozone disintegrating? Macroeconomic divergence, structural polarisation, trade and fragility","Kapeller, Jakob (+3 weitere)",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Gräbner, C., Heimberger, P., Kapeller, J., & Schütz, B. (2020). Is the Eurozone disintegrating? Macroeconomic divergence, structural polarisation, trade and fragility. Cambridge Journal of Economics, 44(3), 647-669. https://doi.org/10.1093/cje/bez059",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"""Ohne Effizienz geht es nicht"". Ergebnisse einer qualitativ-empirischen Erhebung unter Studierenden der Volkswirtschaftslehre","Bäuerle, Lukas (+2 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,13,FGW-Studien,"Bäuerle, L., Pühringer, S., & Ötsch, W. (2019). ""Ohne Effizienz geht es nicht"". Ergebnisse einer qualitativ-empirischen Erhebung unter Studierenden der Volkswirtschaftslehre. (FGW-Studien; Nr. 13). FGW. https://www.ssoar.info/ssoar/handle/document/67301",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Ideas have Consequences: Eine vergleichende Analyse zur transformativen Rolle von Ideen.,"Grimm, Christian",2019,begutachtet,Beitrag in Fachzeitschrift,,,,"Grimm, C. (2019). Ideas have Consequences: Eine vergleichende Analyse zur transformativen Rolle von Ideen. Momentum Quarterly, 8(4), 183-247. https://doi.org/10.15203/momentumquarterly.vol8.no4.p215-229",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
