Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Wie denken zukünftige Ökonom_innen?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-03-20,2018-03-20
Verteilungsgerechtigkeit und ökonomische Ungleichheit,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-04-10,2018-04-10
"10 Jahre Krise: Neoliberale Denkmuster, wirtschaftspolitische Debatten und der Einfluss von Think Tanks",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-02-09,2018-02-09
Politik und Paradigmen in der Ökonomie in Deutschland und den USA,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Aigner, Ernest",2018-03-16,2018-03-16
VWL-Studium als alltägliche Lebensrealität,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas (+1 weitere)",,2018-04-27,2018-04-27
„Netzwerke des Marktes“ in ihrem Einfluss auf Gesellschaft,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2018-04-28,2018-04-28
Theory development through agent-based modelling Lessons from economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2018-06-14,2018-06-14
Structural change in times of increasing openness: Assessing path dependency in European economic integration,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+2 weitere)",,2018-09-08,2018-09-08
To trust or to control - Informal value transfer systems and computational analysis in institutional economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Elsner, Wolfram",2018-01-07,2018-01-07
Zivilisierte Märkte,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob","Tamesberger, Dennis",2018-07-18,2018-07-18
The Anti-democratic Logic of Right-wing Populism and Neoliberal Market-fundamentalism,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-01-07,2018-01-07
Employment and the minimum wage: A pluralist approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2018-07-13,2018-07-13
Socio-ecological transition for the sustainable development of well-being,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-10-13,2022-10-13
Pluralismus in der Ökonomie (und die Klimafrage),Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-11-02,2022-11-02
Competition Universalism und einige Zusammenhänge zwischen Wettbewerb und Raum,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Rogojanu, Ana",2022-11-29,2022-11-29
Prekäre Wissenschaft: Warum Unis reformiert werden müssen,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-12-21,2022-12-21
"Technological capabilities, globalisation and economic growth",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+2 weitere)",,2022-07-11,2022-07-11
Can the European Green Deal Contribute to a Socio-Ecological Transformation?,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob","Wildauer, Rafael",2022-07-10,2022-07-10
MAN Steyr und der internationale Wettbewerb,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)",,2022-06-26,2022-06-26
Exzellent prekär,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2023-04-22,2023-04-22
Wissenschaft und Wettbewerb,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2023-03-16,2023-03-16
Wirtschaft anders denken? – Der Beitrag einer pluralen Ökonomie,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2023-05-04,2023-05-04
Employment Relationships in the Age of Digitalization,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2022-11-08,2022-11-08
Criticizing Economics for its Lack of Realism?,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schnitzer, Hendrik",,2022-11-15,2022-11-15
The implementation of policies for excellence in French higher education,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Harroche, Audrey",2022-11-22,2022-11-22
Dedicated Innovation Systems for the Transformation towards Sustainability,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Lang, Stephanie",2022-06-23,2022-06-23
Opinion Dynamics under Conflicting Interests,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Mellacher, Patrick",2022-06-30,2022-06-30
European Cohesion Policy in Times of Austerity: A Regional Analysis of Germany and Portugal,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Neujeffski, Moritz",2022-10-18,2022-10-18
Netzwerke der Superreichen in Österreich,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)",,2022-10-25,2022-10-25
Development and Interdisciplinarity: a comment on Mitra et al. (2020),Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2022-05-12,2022-05-12
Re-Inventing Competitiveness — tracing the development of competitiveness as European governmental problem,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2022-06-02,2022-06-02
The Performativity of Competitiveness in Academia,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Wolfmayr, Georg",2022-06-09,2022-06-09
Wettbewerbsfähige Nachhaltigkeit: Eine Historisch-Materialistische Analyse der Europäischen grünen Transformation,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2023-05-09,2023-05-09
Backlash or Progress? - Exploring the long-time effect of Covid-policies on the division of care work,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Rath, Magdalena",2023-03-21,2023-03-21
Underdemand or undersupply of labour? Automation and employment in the Austrian automotive sector. A value chain perspective,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ferschli, Benjamin",,2023-01-24,2023-01-24
"Competitization and Quantification in academic Economics: Origins, Evolution and Implications",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2023-01-31,2023-01-31
Forschung über Wissenschaft,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2023-02-06,2023-02-06
Don’t fear the reaper — Tax policy frames in German print media,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Gartiser, Moritz",2022-11-29,2022-11-29
Battle over Indicators or a battle of ideas?,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+4 weitere)",,2022-12-06,2022-12-06
"How public economists in Germany are thinking about the economy, economic policy, and economics",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura","Reinke, Rouven",2022-12-13,2022-12-13
"Supply, Demand, and Preferences: Determinants of Meat Consumption in Spain: 1964 – 2019",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Delgado, Pablo",2023-01-17,2023-01-17
Pluralismus in der Ökonomie: Philosophische Perspektiven,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-06-09,2022-06-09
Wirtschaft anders denken! Was ist plurale Ökonomik?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-09-30,2022-09-30
Pluralismus in der Ökonomie: Philosophische Perspektiven,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-10-25,2022-10-25
Wirtschaft anders denken! Was ist plurale Ökonomik?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2023-02-05,2023-02-05
Gendered Competitive Practices in Economics A Multi-Layer Model of Women’s Underrepresentation,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2023-05-05,2023-05-05
NUWiss vor Ort. Die lokalen Unterbauinitiativen: Unterbau Linz,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2023-04-22,2023-04-22
Elitetheorien und Demokratieverständnis. Auffassungen und Vorgänge vor und nach 1945,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2023-04-18,2023-04-18
Das Menschenbild moderner Ökonomie,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-05-25,2022-05-25
Wechselseitige Kritik ist nur möglich mit nachvollziehbarer Forschung,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-12-29,2022-12-29
Konfliktlinien in den Wirtschaftswissenschaften und ihre Bedeutung für ‚Bildung und nachhaltige Entwicklung‘ (BNE),Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Eckert, Gregor",2022-02-24,2022-02-24
Wirtschaft als transformativer Prozess. Grundlagen und Implikationen für die Wirtschaftswissenschaften,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2022-04-21,2022-04-21
"Introducing heterogeneous consumer products into a single-country, SFC macro-ABM framework",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2022-04-28,2022-04-28
"Klimakrise, klimasoziale Politik und die Rolle der Superreichen",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2022-05-05,2022-05-05
Geschichte der Wirtschaftspolitik,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2023-01-19,2023-01-19
Modern Central Banks: Navigating between 'the stars' and a state-led growth model,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Arbogast, Matthias",2022-01-13,2022-01-13
Mit neuen Eigentumsformen durch die sozial-ökologische Transformation? Die europäische Industrie zukunftsfit machen,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Eder, Julia",,2022-01-27,2022-01-27
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-11-24,2022-11-24
Die deutsche universitäre Agrarsoziologie als Wissenschaftsdisziplin,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2022-12-06,2022-12-06
Think-Tanks: Neue Akteure im politischen Diskurs,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Plehwe, Dieter",2022-02-02,2022-02-02
Verschweigen als gewolltes Nichtwissen in der Wissenschaft: Strategien in Umbruchzeiten,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2022-10-26,2022-10-26
Kompexitätsökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-11-03,2022-11-03
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-11-16,2022-11-16
Komplexitätsökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-11-17,2022-11-17
"Wettbewerb in akademischen, politischen und öffentlichen Diskursen",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-09-28,2022-09-28
Applied economic methodology: oxymoron or ideal?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-09-29,2022-09-29
Was ist plurale Ökonomik?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-10-19,2022-10-19
Agent Based Modelling,Präsentation in Radio/TV,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-05-27,2022-05-27
Machtstrukturen in der Ökonomie und der performative Einfluss auf Politik und Gesellschaft,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-03-01,2022-03-01
Universitäten und Forschung im Wettbewerb,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-04-29,2022-04-29
Liegt die Wahrheit irgendwo dazwischen? Eine plurale Perspektive auf globale Ungleichheit,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-05-02,2022-05-02
The political economy of academic publishing: On the commodification of a public good,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna (+1 weitere)",,2022-05-13,2022-05-13
Agentenbasierte Modelle & Komplexitätsökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2023-01-26,2023-01-26
Konsequenzen der Wettbewerbsorientierung von und an Universitäten. Eine Perspektive der interdisziplinären Wettbewerbsforschung,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2023-01-12,2023-01-12
Degrowth and the Global South? How institutionalism can complement a timely discourse on ecologically sustainable development in an unequal world,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2023-01-11,2023-01-11
Power and Influence of Economists: Contributions to the Social Studies of Economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Rossier, Thierry (+1 weitere)",2023-02-09,2023-02-09
Catering for the interests of the richest or staunch fighters for social justice? A long-term perspective on media discourses of economic inequality in the US press,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2023-03-28,2023-03-28
The heterogeneous effects of digitalization on macroeconomic developments - a comparative perspective,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-09-06,2022-09-06
"Competitive Performativity of Academic Social Networks. The Subjectification of Competition on Researchgate, Twitter and Google Scholar",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-09-07,2022-09-07
"Wettbewerb und Wettbewerbsfähigkeit im öffentlichen, politischen und akademischen Diskurs",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+3 weitere)",,2022-09-28,2022-09-28
Wettbewerb in der Wissenschaft: Ambivalenzen und (un-)in-tendierte Folgen,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-09-28,2022-09-28
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-06-25,2022-06-25
Winning urban competition with a social agenda. The competition imaginary in Viennese urban development plans,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-07-10,2022-07-10
Reichennetzwerke in Österreich,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-07-14,2022-07-14
"Competitive Performativity of Academic Social Networks. The Subjectification of Competition on Researchgate, Twitter and Google Scholar",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-07-21,2022-07-21
Agrarpolitik und Agrarökonomie,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2022-06-14,2022-06-14
Performativity: Vom Entstehen von agrarischen Verarbeitungsstrukturen am Beispiel Schlachthöfe,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2022-06-15,2022-06-15
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+2 weitere)",,2021-10-15,2021-10-15
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Vortrag nach Bewerbung und Auswahl,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2021-10-16,2021-10-16
Governing the Ungovernable. Recontextualizations of European Policy Discourse,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2021-05-27,2021-05-27
Shaping Sustainable Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2021-11-06,2021-11-06
The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)",,2016-10-21,2016-10-21
The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)",,2016-11-05,2016-11-05
"Die Macht ökonomischer Modelle am Beispiel des ""Potential-Output""-Modells der Europäischen Kommission",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2016-10-14,2016-10-14
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+4 weitere)",,2021-10-29,2021-10-29
Competition in Transitional Processes: Polanyi and Schumpeter,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)","Heck, Ines",2021-06-04,2021-06-04
The Political Economy of Academic Publishing: On the Commodification of a Public Good,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2021-09-03,2021-09-03
Perspektiven für eine nachhaltige Automobilindustrie,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2016-10-15,2016-10-15
Ökonomen-Netzwerke – Zu historischen und aktuellen Netzwerken der deutschen VWL-Professorinnen und Professoren,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2016-12-05,2016-12-05
Historie der professoralen Agrarökonomen Deutschlands 1933 – 1955,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-06-24,2010-06-24
ÖkonomInnen in der Finanzkrise - Wie performativ ist Wissenschaft,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-10-19,2014-10-19
Zur Performativität der Ökonomik und aktuellen ÖkonomInnen-Netzwerken in Deutschland,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-07-17,2014-07-17
Europäische Agrarpolitik – eine kritische Sicht,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-04-14,2014-04-14
Aktionsforschung – ein Weg zum Design institutioneller Neuerungen,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Knierim, Andrea",2010-06-10,2010-06-10
Wettbewerb infrage - neue Podcastreihe,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-01-05,2021-01-05
Private Verlage profitieren von Forschungsgeldern,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-02-01,2021-02-01
Wettbewerb als Ordnungsprinzip,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-01-05,2021-01-05
Zur Finanzkrise und ihren forschungsseitigen Herausforderungen,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2015-07-01,2015-07-01
Piketty verstehen,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-06-20,2015-06-20
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-06-09,2015-06-09
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-06-01,2015-06-01
Die Rolle pluraler Ökonomik in der ökonomischen Bildung,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-05-05,2015-05-05
Ranglisten und andere Evaluationskriterien – die Macht der Wissenschaftsstatistik,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-12-18,2014-12-18
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-11-05,2014-11-05
