authors,title,year,type,citation,doi
Hirte K.,Politik und ihre Ad-hoc- Gremien in Krisenzeiten,2015,Aufsatz / Paper in Tagungsband (referiert),", in Momentum-Kongress: Momentum Kongress Paper, Seite(n) 1-22, 2015",
"Kapeller J., Schütz B.",Verteilungstendenzen im Kapitalismus,2015,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-21, 2015",
Beyer K.,Emanzipation bei Marx und seine Kritik an Proudhon und dessen ideengeschichtlichen Nachfahren,2014,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-18, 2014",
"Kapeller J., Schütz B., Tamesberger D.",From Free to Civilized Markets,2014,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-29, 2014",
Ötsch W.,How to Hide Secrecy Jurisdictions,2014,Aufsatz / Paper in Tagungsband (referiert),", in Ötsch, Walter O.; Grözinger, Gerd; Beyer, Karl M.; Bräutigam, Lars: The Political Economy of Offshore Jurisdictions, : Metropolis Verlag, : Metropolis Verlagrburg, Seite(n) 61-75, 2014",
"Hirte K., Pühringer S.","Performative Wissenschaft: Ökonomiekritik, Ökonomietheorien und die Verantwortung von ÖkonomInnen.",2014,Aufsatz / Paper in Tagungsband (referiert),", in Hirte Katrin, Thieme Sebastian, Ötsch Walter Otto: Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien, Metropolis Verlag, Marburg, Seite(n) 267-302, 2014",
"Plaimer W., Pühringer S.",Der Fiskalpakt und seine Implementation in Österreich,2013,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-20, 2013",
Nordmann J.,Grenzen aktueller Krisendebatten. Über Konstruktionen der öffentlichen Meinung und das Verhältnis von Sach- und Grundsatzdiskussionen in (neo)liberalen Demokratien,2013,Aufsatz / Paper in Tagungsband (referiert),", in Wengeler Martin; Ziem, Alexander: Sprachliche Konstruktionen von Krisen : interdisziplinäre Perspektiven auf ein fortwährend aktuelles Phänomen, Hempen, Bremen, Seite(n) 53-66, 2013",
Schütz B.,"Marx, Keynes und die Idee des gesellschaftlichen Fortschritts: Suche nach neuen politischen Visionen",2013,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-21, 2013",
Hirte K.,„Persilschein“ – Netzwerke: Für Bruchlosigkeit in Umbruchzeiten.,2013,Aufsatz / Paper in Tagungsband (referiert),", in Schönhuth, Michael; Gamper, Markus; Kronenwett, Michael; Stark, Martin: Visuelle Netzwerkforschung. Qualitative, quantitative und partizipative Zugänge., Transcript Verlag, Seite(n) 331-353, 2013",
"Huber J., Kaindlstorfer L., Kapeller J.",Bridges to Past Polls: Die oberösterreichische Erfahrung mit Vorwahlen als demokratisches Instrument,2012,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, 2012",
"Kapeller J., Schütz B., Tamesberger D.",Die Regulation der Routine,2012,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-31, 2012",
"Pühringer S., Kapeller J.",How Liberalism lost its concept of democracy,2012,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-22, 2012",
Plaimer W.,Postdemokratie in Österreich?,2012,Aufsatz / Paper in Tagungsband (referiert),", in Momentum-Kongress: Momentum Kongress Paper, Seite(n) 1-17, 2012",
"Knierim A., Hirte K.",Aktionsforschung - ein Weg zum Design institutioneller Neuerungen zur regionalen Anpassung an den Klimawandel,2011,Aufsatz / Paper in Tagungsband (referiert),": Anpassung an den Klimawandel - regional umsetzen!, oecom Verlag, München, Seite(n) 156-174, 2011",
Nordmann J.,Braucht die aktuelle Gesellschaft einen Gesellschaftsvertrag? Der politische Neoliberalismus im Spiegel von John Locke und John Rawls,2011,Aufsatz / Paper in Tagungsband (referiert),": Gesellschaft! Welche Gesellschaft?, Metropolis-Verlag, Marburg, Seite(n) 33-60, 2011",
Hirte K.,Crowdsourcing und Regelbezüge - der Fall GuttenPlag.,2011,Aufsatz / Paper in Tagungsband (referiert),", in Heiss, Hans-Ulrich: INFORMATIK 2011 - Informatik schafft Communities. 41. Jahrestagung der Gesellschaft für Informatik , 4.-7.10.2011, Berlin, Serie Lecture Notes in Informatics (LNI), Vol. P-192, Springer, 2011",
Ötsch W.,Der Markt und die großen Ratingagenturen,2011,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Serie Momentum quarterly, Seite(n) 1-11, 2011",
Hirte K.,Gleichheit und Vielfalt – normative Konzeptionen? Die philosophischen Implikationen zum Problem Anerkennung bei Simone de Beauvoir und Hannah Arendt,2011,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-15, 2011",
Pühringer S.,Gleichheit versus Vielfalt. Ein konstruierter Widerspruch?,2011,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-23, 2011",
"Plaimer W., Nordmann J.",Veränderung von Machtverhältnissen in politischen Entscheidungsprozessen,2011,Aufsatz / Paper in Tagungsband (referiert),", in Momentum-Kongress: Momentum Kongress Paper, Seite(n) 1-21, 2011",
Hirte K.,Das neoklassische Freihandelsmodell,2010,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-16, 2010",
Ötsch W.,Die Tiefenbedeutung von ‘Markt’,2010,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-27, 2010",
Hirte K.,Performativity of Economics - ein tragfähiger Ansatz zur Analyse der Rolle der Ökonomen in der Ökonomie?,2010,Aufsatz / Paper in Tagungsband (referiert),", in Walter Ötsch, Katrin Hirte, Jürgen Nordmann: Krise. Welche Krise?, Metropolis Verlag, Marburg, Seite(n) 49-75, 2010",
"Hubmann G., Kapeller J.","Solidarisch Handeln: Konzeptionen, Ursachen und Implikationen",2010,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-30, 2010",
"Pühringer M., Pühringer S.",Solidarität im Kapitalismus,2010,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-32, 2010",
Nordmann J.,"Trash, Skandale und Ratschläge statt Aufklärung und politische Bildung. Über das Zusammenspiel von kommerzialisierten Medien und gemachter Meinung in der neoliberalen Gesellschaft",2010,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-8, 2010",
"Pühringer S., Wolfmayer G.",Frei Handeln. Überlegungen zur Überwindung des neoliberalen Freiheitsbegriffs,2009,Aufsatz / Paper in Tagungsband (referiert),": Momentum Kongress Paper, Seite(n) 1-21, 2009",
"Pühringer S., Egger J.",Krisenbilder von ÖkonomInnen in der Presse,2018,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Walter Ötsch; Silja Graupe: Macht der Bilder, Macht der Sprache, Seite(n) 75-86, 2018",
"Pühringer S., Liedl B.",Ökonomische Expertise und polit-ökonomische Machtstrukturen,2018,Aufsatz / Paper in Tagungsband (nicht-referiert),", in AK Kärnten: Welt aus den Fugen. Wie der Neoliberalismus unser Leben verändert., ÖGB-Verlag, Wien, Seite(n) 41-56, 2018",
"Hirte K., Kuschel S.",Agrarpolitik und Arbeit – der Einfluss europäischer Agrarpolitikmaßnahmen auf die Arbeit im Agrarsektor,2016,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Ahlert, Maximilian; Fiederer, Franca; Varelmann, Katharina; Kuschel, Sarah; Ewers, Sylvia; Politor, Merlin; Stamp, Katharina: Frohes Schaffen!? Arbeit in der Landwirtschaft, Universtity Press, Kassel, Seite(n) 9-15, 2016",
Ötsch W.,Die Politische Ökonomie „des“ Marktes. Eine Zusammenfassung zur Wirkungsgeschichte von Friedrich A. Hayek,2016,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Kapeller, Jakob; Pühringer, Stephan; Hirte, Katrin; Ötsch, Walter O.: Ökonomie! Welche Ökonomie? Stand und Status der Wirtschaftswissenschaften, Metropolis Verlag, Marburg, Seite(n) 19-50, 2016",
Hirte K.,"Die „Landnahme“-These von Rosa Luxemburg – empirisch beobachtbar, aber theoretisch falsifiziert?",2016,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Kapeller, Jakob; Pühringer, Stephan; Hirte, Katrin; Ötsch, Walter: Ökonomie! Welche Ökonomie?, Metropolis Verlag, Marburg, Seite(n) 273-313, 2016",
"Hirte K., Kapeller J., Pühringer S., Ötsch W.",Vorwort im Tagungsband Ökonomie! Welche Ökonomie?,2016,Aufsatz / Paper in Tagungsband (nicht-referiert),": Ökonomie! Welche Ökonomie?, Metropolis Verlag, Marburg, Seite(n) 2-10, 2016",
Ötsch W.,Markt und Markttheorie. Vorwort und Überblick,2015,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Ötsch, Walter O.; Hirte, Katrin; Pühringer, Stephan; Bräutigam, Lars: Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft, Metropolis Verlag, Marburg, Seite(n) 7-24, 2015",
"Beyer K., Bräutigam L.",Offshore Aspects of Shadow Banking. With Considerations on the Recent Financial Crisis,2014,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Ötsch, Walter O.; Grözinger, Gert; Beyer, Karl M.: The Political Economy of Offshore Jurisdictions, Metropolis Verlag, Marburg, 2014",
"Ötsch W., Schmidt M.",The Political Economy of Offshore Jurisdictions. An Introduction,2014,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Ötsch, Walter O.; Grözinger, Gerd; Beyer, Karl M.; Bräutigam, Lars: The Political Economy of Offshore Jurisdictions, Metropolis Verlag, Marburg, Seite(n) 7-23, 2014",
"Hirte K., Ötsch W.","Vorwort im Sammelband ""Wissen! Welches Wissen?""",2014,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Hirte Katrin, Thieme Sebastian, Ötsch Walter Otto: Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien, Metropolis Verlag, Marburg, Seite(n) 7-16, 2014",
"Pühringer S., Hirte K.",Economists and Economics. Discourse profiles of economists in the financial crisis,2012,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Association française d'économie politique: Joint conference of AHE, IIPPE, FAPE. Kongress Political economy and the outlook for capitalism 05.-07.07.2012, Paris, Seite(n) 1-16, 2012",
"Hirte K., Ötsch W.",Vorwort,2011,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Ötsch, Walter O.; Hirte, Katrin; Nordmann, Jürgen: Gesellschaft! Welche Gesellschaft?, Metropolis, Marburg, Seite(n) 7-15, 2011",
Kapeller J.,Was sind ökonomische Modelle?,2011,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Volker Gadenne und Reinhard Neck: Philosophie und Wirtschaftswissenschaft, Mohr Siebeck, Seite(n) 29-50, 2011",
"Dobusch L., Kapeller J.","Institutionalisierung zivilgesellschaftlicher Partizipation - Zwischen Ignoranz, Integration und Invasion",2010,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Blaha, Barbara; Weidenholzer, Josef: Freiheit - Beiträge für eine demokratische Gesellschaft, Wilhelm Braumüller Universitäts-Verlagsbuchhandlung, Wien, Seite(n) 201-217, 2010",
Nordmann J.,Was ist eine Krise?,2010,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Ötsch, Walter O.; Hirte, Katrin; Nordmann, Jürgen: Krise! Welche Krise?, Metropolis, Marburg, Seite(n) 7-20, 2010",
Hirte K.,Ökonomisierung an den Hochschulen.,2010,Aufsatz / Paper in Tagungsband (nicht-referiert),", in Johanna Besier, Hannah Fritsch, Arne Rost, Sven Schmidt, Hannes Schulz, Maggie Selle, Katharina Wenzel: Agrarpolitik in der Lehre?, ABL Bauernblatt Verlags-GmbH, Seite(n) 17-25, 2010",
Hager T.,Lobbying and Macroeconomic Development,2024,Aufsatz / Paper in Sammelwerk (referiert),", in Mause, Karsten; Polk, Andreas: The Political Economy of Lobbying, Serie Studies in Public Choice, Vol. 43, Springer, Cham, Seite(n) 77-99, 2024",
Hirte K.,Performativität: Geplante Landwirtschaftsstrukturen – das Beispiel Böckenhoff-Plan,2024,Aufsatz / Paper in Sammelwerk (referiert),", in Gruber, Holle; Henkel, Anna; Scheel, Laura: Land: Digitalisierung, Agrarwandel, Energiewende – soziologische Perspektiven zu ländlichen Räumen im Umbruch, Serie 10 Minuten Soziologie, trancript, Bielefeld, Seite(n) 87-100, 2024",10.14361/9783839465233-007
"Kapeller J., Hubmann G.",Dilemmata marktliberaler Globalisierung,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Sturn, Richard; Klüh, Ulrich: Wachstums- und Globalisierungsgrenzen, Serie Jahrbuch Normative und institutionelle Grundfragen der Ökonomik, Vol. 20, Metropolis Verlag, Marburg, 2023",
"Benz P., Maesse J., Pühringer S., Rossier T.",Economics and Power,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Macknight, Viski; Medvecky, Fabien: Making Economics Public, Routledge, London, Seite(n) 18-25, 2023",
Gräbner-Radkowitsch C.,Elements of an evolutionary approach to comparative economic studies,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Casagrande, Sara; Dallago, Bruno: The Routledge Handbook of Comparative Economic Systems, Routledge, London, forthcoming, Seite(n) 81-102, 2023",10.4324/9781003144366-6
"Benz P., Maesse J., Pühringer S., Rossier T.",Il potere e l'economics,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Nicoletta, Gerardo C.; di Carlo, Michele S.; Ventrone, Oreste: Economisti e Società. Nuove sociologie dell'expertise economica, Liguori Editore, Napoli, Seite(n) 17-24, 2023",
"Porak L., Schamberger K.",Islands in the Privately Dominated Sea of Capitalist Media,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Güney, Selma; Hille, Lina; Pfeiffer, Juliane; Porak, Laura; Theine, Hendrik: Eigentum, Medien, Öffentlichkeit, Westend Verlag, Frankfurt am Main, Seite(n) 443-449, 2023",
"Aistleitner M., Pühringer S.",L´expertise parziale dell´economics: il caso della ricerca (delle politiche) sul commercio,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Nicoletta, Gerardo C.; di Carlo, Michele S.; Ventrone, Oreste: Economisti e Società. Nuove sociologie dell'expertise economica, Liguori Editore, Napoli, Seite(n) 25-40, 2023",
Pühringer S.,Soziale und ökologische Probleme müssen zusammen betrachtet werden,2023,Aufsatz / Paper in Sammelwerk (referiert),", in Renner Institut: Ein aktiver Staat, der die Menschen stärkt und schützt, Seite(n) 24-27, 2023",
"Maesse J., Pühringer S., Rossier T., Benz P.",The role of power in the Social Studies of Economics: an introduction,2022,Aufsatz / Paper in Sammelwerk (referiert),", in Jens Maesse, Stephan Pühringer, Thierry Rossier,  Pierre Benz: Power and Influence of Economists: Contributions to the Social Studies of Economics., Routledge, London, 2022",
"Pühringer S., Beyer K.","Who are the economists Germany listens to? What it needs to have academic, public or political impact",2022,Aufsatz / Paper in Sammelwerk (referiert),", in Maesse, Jens; Pühringer, Stephan; Rossier, Thierry; Benz, Pierre: Power and Influence of Economists: Contributions to the Social Studies of Economics., Routledge, London, Seite(n) 147-169, 2022",
"Gräbner-Radkowitsch C., Hafele J.",Why Fostering Socio-economic Convergence in the EU Is Necessary for Successful Climate Change Mitigation,2022,Aufsatz / Paper in Sammelwerk (referiert),", in Heinrich Böll Foundation, ZOE-Institute for Future-Fit Economies and Finanzwende Recherche: Making the great turnaround work: Economic policy for a green and just transition, Seite(n) 104-114, 2022",
"Koch L., Ötsch W., Graupe S.",Wissenschaftstheoretische Grundlagen,2022,Aufsatz / Paper in Sammelwerk (referiert),", in Lehmann-Waffenschmidt, Marco; Peneder, Michael: Evolutorische Ökonomik. Konzepte, Wegbereiter und Anwendungsfelder, Metropolis Verlag, Marburg, Seite(n) 349-359, 2022",
Strohmaier R.,Agent of Sustainable Change - Der unternehmerische Staat und sozial-ökologische Transformation,2021,Aufsatz / Paper in Sammelwerk (referiert),", in Klüh, Ulrich; Sturn, Richard: Der Staat in der großen Transformation. Jahrbuch Normative und institutionelle Grundfragen der Ökonomik, Serie Jahrbuch Normative und institutionelle Grundfragen der Ökonomik, Metropolis, Weimar, Seite(n) 169-192, 2021",
"Gräbner C., Kapeller J.",Konzernmacht in globalen Güterketten,2021,Aufsatz / Paper in Sammelwerk (referiert),", in Karin Fischer, Christian Reiner und Cornelia Staritz: Globale Güterketten und ungleiche Entwicklung. Arbeit, Kapital, Natur und Konsum, Mandelbaum, Seite(n) 195-217, 2021",
Ötsch W.,Narration und Imagination. Die Rolle von imaginierten Bildern in der Geschichte der Wirtschaftstheorie,2021,Aufsatz / Paper in Sammelwerk (referiert),", in Künzel, Christine; Priddat, Birger: Fiktion und Narration in der Ökonomie. Interdisziplinäre Perspektiven auf den Umgang mit ungewisser Zukunft, Metropolis, Marburg, Seite(n) 241-267, 2021",
"Ötsch W., Pühringer S.",Ordoliberalismus,2021,Aufsatz / Paper in Sammelwerk (referiert),", in Michael G. Festl: Handbuch Liberalismus, J.B. Metzler, Stuttgart, Seite(n) 372-378, 2021",
"Ötsch W., Wodak R.",Populismus,2021,Aufsatz / Paper in Sammelwerk (referiert),", in Ferstl, Michael G.: Handbuch Liberalismus, J.B. Metzler, Stuttgart, Seite(n) 535-541, 2021",
Hirte K.,Das doppelte Reflektionsproblem,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Hochmann, Lars: Economists4future, Murmann Verlag, Hamburg, Seite(n) 43-58, 2020",
Schütz B.,Die Auswirkung von Mindestlöhnen auf die Arbeitslosigkeit: Ein Paradigmenvergleich,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Stephan Pühringer, Silja Graupe, Katrin Hirte, Jakob Kapeller, Stephan Panther: Jenseits der Konventionen: Alternatives Denken zu Wirtschaft, Gesellschaft und Politik, Metropolis, Marburg, Seite(n) 157-173, 2020",
Hirte K.,Friedman’s Instrumentalismus und das Problem von Kopernikus,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Pühringer, Stephan; Graupe, Silja; Hirte, Katrin; Kapeller, Jakob; Panther, Stephan: Jenseits der Konventionen, Metropolis Verlag, Marburg, Seite(n) 97-122, 2020",
Porak L.,Miteinander und voneinander lernen. Vielfalt in der ökonomischen Lehre,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Hochmann, Lars: Economists4future, Murmann Verlag, Hamburg, Seite(n) 127-142, 2020",
"Kapeller J., Pühringer S.",Paradigmen und Politik. Der derzeitige Stand der Ökonomie,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Jakob Kapeller, Stephan Pühringer, Silja Graupe, Kathrin Hirte, Stephan Panther: Jenseits der Konventionen: Alternatives Denken zu Wirtschaft, Gesellschaft und Politik, Metropolis, Marburg, Seite(n) 221-252, 2020",
"Piétron D., Porak L., Thieme S.",Plurale Ökonomik - Eine kurze Einführung,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Thielscher, Christian: Wirtschaftswissenschaften verstehen, Springer Gabler, Wiesbaden, Seite(n) 189-205, 2020",
Pühringer S.,Think Tank Networks of German Neoliberalism. Power Structures in Economics and Economic Policies in Post-War Germany,2020,Aufsatz / Paper in Sammelwerk (referiert),", in Mirowski, Philip; Plehwe, Dieter; Slobodian, Quinn: Nines Lives of Neoliberalism, Verso Books, New York, Seite(n) 283-306, 2020",
Hirte K.,Das dritte gossensche Gesetz,2019,Aufsatz / Paper in Sammelwerk (referiert),", in Hochmann, Lars; Graupe, Silja; Korbun, Thomas; Panther, Stephan; Schneidewind, Uwe: Möglichkeits¬wissen¬schaften. Ökonomie mit Möglichkeitssinn, Metropolis Verlag, Marburg, Seite(n) 133-176, 2019",
Kapeller J.,Humankapital,2019,Aufsatz / Paper in Sammelwerk (referiert),", in von Braunmühl, Claudia; Gerstenberger, Heide; Ptak, Ralf; Wichterich, Christa: ABC der globalen Unordnung. Von »Anthropozän« bis »Zivilgesellschaft«, VSA-Verlag, Hamburg, Seite(n) 120-121, 2019",
"Ötsch W., Pühringer S.",Marktfundamentalismus als Kollektivgedanke. Mises und die Ordoliberalen,2019,Aufsatz / Paper in Sammelwerk (referiert),", in Richard Sturn, Nenad Pantelic: Dem Markt vertrauen? Beiträge zur Tiefenstruktur neoliberaler Regulierung., Metropolis, Marburg, Seite(n) 185-210, 2019",
Kapeller J.,Pluralism in Economics: Epistemological Rationales and Pedagogical Implementation,2019,Aufsatz / Paper in Sammelwerk (referiert),", in Decker, Samuel; Elsner, Wolfram; Flechtner, Svenja: Advancing Pluralism in Teaching Economics, Routledge, London, Seite(n) 55-77, 2019",
Pühringer S.,The “eternal character” of austerity measures in European crisis policies. Evidences from the Fiscal Compact discourse in Austria.,2019,Aufsatz / Paper in Sammelwerk (referiert),", in Power, Kate; Ali, Tanweer; Lebduskova, Eva: Discourse Analysis and Austerity: Critical Studies from Economics and Linguistics, Routledge, London, Seite(n) 134-158, 2019",
Ötsch W.,Wissen und Nichtwissen angesichts ‚des Marktes‘. Das Konzept von Hayek,2019,Aufsatz / Paper in Sammelwerk (referiert),", in Graupe, Silja; Ötsch, Walter O.; Rommel, Florian: Spielräume des Denkens, Metropolis, Marburg, Seite(n) 311-339, 2019",
Ötsch W.,Bilder des Rechtspopulismus,2018,Aufsatz / Paper in Sammelwerk (referiert),", in Ötsch, Walter O.; Graupe, Silja: Macht der Bilder, Macht der Sprache, Angelika Lenz Verlag, Isenburg, Seite(n) 113-128, 2018",
"Hirte K., Thieme S.",Heterodoxie in der Ökonomik,2018,Aufsatz / Paper in Sammelwerk (referiert),", in Schetsche, Michael; Schmied-Knittel, Ina: Heterodoxie. Konzepte, Traditionen, Figuren der Abweichung, Halem Verlag, Köln, 2018",
Hirte K.,Zeitlichkeit und Tauschfähigkeit bei Rosa Luxemburg und Joseph A. Schumpeter,2018,Aufsatz / Paper in Sammelwerk (referiert),", in Bies, Michael; Giacovelli, Sebastian; Langenohl, Andreas: Ästhetische Eigenzeiten von Tausch und Gabe, Wehrhahn Verlag, Hannover, 2018",
Gräbner C.,Dealing adequately with the political element in formal modelling,2017,Aufsatz / Paper in Sammelwerk (referiert),", in Katsikides, Savas and Hanappi, Hardy and Scholz-Wäckerle, Manuel: Theory and Method of Evolutionary Political Economy, Routledge, New York, Seite(n) 236-254, 2017",
Gräbner C.,Die Rolle des Gleichgewichtskonzepts in der mikroökonomischen Ausbildung,2017,Aufsatz / Paper in Sammelwerk (referiert),", in Till van Treek, Janina Urban: Wirtschaft neu denken, iRIGHTS media, Berlin, Seite(n) 60-73, 2017",
"Kapeller J., Schütz B., Springholz F.",Internationale Tendenzen und Potentiale der Vermögensbesteuerung,2017,Aufsatz / Paper in Sammelwerk (referiert),", in Dimmel, Nikolaus; Hofmann, Julia; Schenk, Martin; Schürz, Martin: Handbuch Reichtum – Neue Erkenntnisse aus der Ungleichheitsforschung, Studienverlag, Wien, Seite(n) 477-492, 2017",
"Gräbner C., Kapeller J.",The Micro-Macro Link in Heterodox Economics,2017,Aufsatz / Paper in Sammelwerk (referiert),", in Tae-Hee Jo, Lynne Chester Carlo and D'Ippoliti: The Routledge Handbook of Heterodox Economics, Routledge, Seite(n) 145-159, 2017",10.4324/9781315707587.ch10
Pühringer S.,The success story of ordoliberalism as guiding principle of German economic policy,2017,Aufsatz / Paper in Sammelwerk (referiert),", in Hien, Josef; Joerges, Christian: Ordoliberalism. Law and the rule of economics, Hart Publishing, Oxford, Portland, Seite(n) 134-158, 2017",
Hirte K.,"Zur Performativität in den Wirtschaftswissenschaften. Kernaussagen, Anwendungspotentiale und Grenzen eines Konzepts",2017,Aufsatz / Paper in Sammelwerk (referiert),", in Pfriem, Reinhard; Schneidewind, Uwe: Transformative Wirtschaftswissenschaft im Kontext nachhaltiger Entwicklung, Metropolis Verlag, Marburg, 2017",
Griesser M.,sezonieri.at: Kollektive Handlungsfähigkeit von ErntearbeiterInnen in Österreich,2017,Aufsatz / Paper in Sammelwerk (referiert),", in Schmidjell, Cornelia; Sedmak, Clemens; Koch, Andreas; Kapferer, Elisabeth; Gaisbauer, Helmut P.; Bogner, Stefan; Wimmer, Bernd: Lesebuch Soziale Ausgrenzung III, Mandelbaum Verlag, Wien, Seite(n) 89-92, 2017",
Ötsch W.,Die neoliberale Utopie als Ende aller Utopien,2016,Aufsatz / Paper in Sammelwerk (referiert),", in Pittl, Sebastian; Prüller-Jagenteufel; Gunter: Unterwegs zu einer neuen ‚Zivilisation geteilter Genügsamkeit‘. Perspektiven utopischen Denkens 25 Jahre nach dem Tod Ignacio Ellacurías, Vandenhoeck & Ruprecht uni press, Wien, Seite(n) 105-119, 2016",
"Schwardt H., Gräbner C., Heinrich T., Cordes C., Schwesinger G.",Economic Complexity and Trade-Offs in Policy Decisions,2016,Aufsatz / Paper in Sammelwerk (referiert),", in Gräbner, Claudius; Heinrich, Torsten; Schwardt, Henning: Policy Implications of Evolutionary and Institutional Economics, Routledge, London, New York, Seite(n) 3-19, 2016",
"Kapeller J., Scholz-Wäckerle M.",Evolutionary Political Economy and the Complexity of Economic Policy,2016,Aufsatz / Paper in Sammelwerk (referiert),", in Gräbner,  Claudius / Heinrich, Torsten / Schwardt, Henning: Policy  Implications of Recent Advances in Evolutionary and Institutional  Economics, Routledge, London, Seite(n) 99-122, 2016",
Ötsch W.,Geld und Raum. Anmerkungen zum Homogenisierungsprogramm der beginnenden Neuzeit,2016,Aufsatz / Paper in Sammelwerk (referiert),", in Brodbeck, Karl-Heinz; Graupe, Silja: Geld! Welches Geld? Geld als Denkform, Metropolis Verlag, Marburg, Seite(n) 71-101, 2016",
Hirte K.,Netzwerke im Internet – eine neue kritische Öffentlichkeit? Das Beispiel Guttenberg,2016,Aufsatz / Paper in Sammelwerk (referiert),", in Imhof, Kurt; Welz, Frank; Fleck, Christian; Vobruba, Georg: Neuer Strukturwandel der Öffentlichkeit. Verhandlungen des dritten gemeinsamen Kongresses der Deutschen, Österreichischen und Schweizerischen Gesellschaft für Soziologie, Springer, Wiesbaden, Seite(n) 1-16, 2016",
"Kapeller J., Schütz B.",Verteilungstendenzen im Kapitalismus. Globale Perspektiven,2016,Aufsatz / Paper in Sammelwerk (referiert),", in Bundesarbeitskammer: Die Verteilungsfrage. Von Reichtum, Krisen und Ablenkungsmanövern, ÖGB-Verlag, Wien, Seite(n) 49-54, 2016",
Kapeller J.,Beyond Foundations: Systemism in Economic  Thinking,2015,Aufsatz / Paper in Sammelwerk (referiert),", in Jo, Tae-Hee / Todorovka, Zdravka: Advancing the Frontiers of Heterodox Economics: Essays in Honor of Frederic S. Lee, Routledge, London, Seite(n) 115-134, 2015",
"Kapeller J., Pühringer S.",Demokratie in Liberalismus und Neoliberalismus,2015,Aufsatz / Paper in Sammelwerk (referiert),", in Seckauer, Hansjörg/Stelzer-Orthofer, Christine/Kepplinger, Brigitte: Das Vorgefundene und das Mögliche. Beiträge zur Gesellschafts- und Sozialpolitik zwischen Ökonomie und Moral, Mandelbaum, Wien, Seite(n) 111-127, 2015",
"Kapeller J., Schütz B., Tamesberger D.","Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive",2015,Aufsatz / Paper in Sammelwerk (referiert),", in Seckauer, Hansjörg; Stelzer-Orthofer, Christine; Kepplinger, Brigitte: Das Vorgefundene und das Mögliche. Beiträge zur Gesellschafts- und Sozialpolitik zwischen Ökonomie und Moral. Festschrift für Josef Weidenholzer, Mandelbaum Verlag, Wien, Seite(n) 213-227, 2015",
